Interval=	0.00025 s
ExcelDateTime=	4.4750462619190352e+004	2022-07-08 11:06:10.298047
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Raw EMG 1	RMS EMG
Range=	10.000 mV	42.46 V
-0.05	0.13	93.77091
-0.04975	0.0528125	93.77091
-0.0495	-0.0409375	93.77091
-0.04925	-0.1175	93.77091
-0.049	-0.151875	93.77091
-0.04875	-0.18375	93.77091
-0.0485	-0.2040625	93.77091
-0.04825	-0.2134375	93.77091
-0.048	-0.2190625	93.77091
-0.04775	-0.1934375	93.77091
-0.0475	-0.105	93.77091
-0.04725	0.038125	93.77091
-0.047	0.1971875	93.77091
-0.04675	0.3128125	93.77091
-0.0465	0.3609375	93.77091
-0.04625	0.3528125	93.77091
-0.046	0.284375	93.77091
-0.04575	0.19	93.77091
-0.0455	0.103125	93.77091
-0.04525	0.054375	93.77091
-0.045	0.038125	93.77091
-0.04475	0.04375	93.77091
-0.0445	0.0515625	93.77091
-0.04425	0.0525	93.77091
-0.044	0.0590625	93.77091
-0.04375	0.0678125	93.77091
-0.0435	0.0721875	93.77091
-0.04325	0.0765625	93.77091
-0.043	0.078125	93.77091
-0.04275	0.0675	93.77091
-0.0425	0.0671875	93.77091
-0.04225	0.07125	93.77091
-0.042	0.0703125	93.77091
-0.04175	0.074375	93.77091
-0.0415	0.0740625	93.77091
-0.04125	0.0678125	93.77091
-0.041	0.064375	93.77091
-0.04075	0.061875	93.77091
-0.0405	0.0603125	93.77091
-0.04025	0.0571875	93.77091
-0.04	0.0590625	93.77091
-0.03975	0.05625	93.77091
-0.0395	0.0534375	93.77091
-0.03925	0.053125	93.77091
-0.039	0.0540625	93.77091
-0.03875	0.0503125	93.77091
-0.0385	0.04875	93.77091
-0.03825	0.0484375	93.77091
-0.038	0.0478125	93.77091
-0.03775	0.0453125	93.77091
-0.0375	0.0534375	93.77091
-0.03725	0.04875	93.77091
-0.037	0.0446875	93.77091
-0.03675	0.054375	93.77091
-0.0365	0.06875	93.77091
-0.03625	0.07875	93.77091
-0.036	0.0825	93.77091
-0.03575	0.074375	93.77091
-0.0355	0.0653125	93.77091
-0.03525	0.06125	93.77091
-0.035	0.0553125	93.77091
-0.03475	0.0665625	93.77091
-0.0345	0.0659375	93.77091
-0.03425	0.05875	93.77091
-0.034	0.0590625	93.77091
-0.03375	0.05625	93.77091
-0.0335	0.068125	93.77091
-0.03325	0.0803125	93.77091
-0.033	0.0884375	93.77091
-0.03275	0.0928125	93.77091
-0.0325	0.0928125	93.77091
-0.03225	0.0896875	93.77091
-0.032	0.0928125	93.77091
-0.03175	0.079375	93.77091
-0.0315	0.0703125	93.77091
-0.03125	0.0690625	93.77091
-0.031	0.07	93.77091
-0.03075	0.071875	93.77091
-0.0305	0.0675	93.77091
-0.03025	0.06625	93.77091
-0.03	0.0684375	93.77091
-0.02975	0.0653125	93.77091
-0.0295	0.069375	93.77091
-0.02925	0.0765625	93.77091
-0.029	0.0709375	93.77091
-0.02875	0.0690625	93.77091
-0.0285	0.07125	93.77091
-0.02825	0.0778125	93.77091
-0.028	0.07875	93.77091
-0.02775	0.0690625	93.77091
-0.0275	0.03875	93.77091
-0.02725	-0.004375	93.77091
-0.027	-0.061875	93.77091
-0.02675	-0.1296875	93.77091
-0.0265	-0.1865625	93.77091
-0.02625	-0.24375	93.77091
-0.026	-0.2771875	93.77091
-0.02575	-0.2578125	93.77091
-0.0255	-0.15875	93.77091
-0.02525	0.001875	93.77091
-0.025	0.159375	93.77091
-0.02475	0.2584375	93.77091
-0.0245	0.304375	93.77091
-0.02425	0.315	93.77091
-0.024	0.305	93.77091
-0.02375	0.28125	93.77091
-0.0235	0.2165625	93.77091
-0.02325	0.1496875	93.77091
-0.023	0.1090625	93.77091
-0.02275	0.086875	93.77091
-0.0225	0.0803125	93.77091
-0.02225	0.0784375	93.77091
-0.022	0.069375	93.77091
-0.02175	0.065625	93.77091
-0.0215	0.0628125	93.77091
-0.02125	0.0659375	93.77091
-0.021	0.0809375	93.77091
-0.02075	0.0828125	93.77091
-0.0205	0.088125	93.77091
-0.02025	0.0890625	93.77091
-0.02	0.090625	93.77091
-0.01975	0.089375	93.77091
-0.0195	0.093125	93.77091
-0.01925	0.098125	93.77091
-0.019	0.103125	93.77091
-0.01875	0.10375	93.77091
-0.0185	0.1065625	93.77091
-0.01825	0.1084375	93.77091
-0.018	0.0890625	93.77091
-0.01775	0.0559375	93.77091
-0.0175	0.0190625	93.77091
-0.01725	-0.009375	93.77091
-0.017	-0.0221875	93.77091
-0.01675	-0.020625	93.77091
-0.0165	-0.0171875	93.77091
-0.01625	-0.008125	93.77091
-0.016	0.031875	93.77091
-0.01575	0.1103125	93.77091
-0.0155	0.195625	93.77091
-0.01525	0.2034375	93.77091
-0.015	0.14875	93.77091
-0.01475	0.085625	93.77091
-0.0145	0.0609375	93.77091
-0.01425	0.050625	93.77091
-0.014	0.048125	93.77091
-0.01375	0.0478125	93.77091
-0.0135	0.054375	93.77091
