Trail Number 		M-Reflex 	H-Reflex 	Voltage
1 		 0.27	0.26938	14.0563
2 		 0.26562	0.26687	14.6875
3 		 0.2725	0.26875	15.1313
4 		 0.27125	0.2725	15.55
5 		 0.27875	0.27375	16.0875
6 		 0.27813	0.2775	16.4187
7 		 0.27063	0.27563	16.9813
8 		 0.2675	0.26688	17.1625
9 		 0.26938	0.26938	17.5188
10 		 0.27187	0.27875	17.9
11 		 0.27875	0.28	18.3938
12 		 0.26875	0.27687	18.8125
13 		 0.27313	0.26875	19.4875
14 		 0.26625	0.29625	19.9688
15 		 0.26438	0.26625	20.1688
16 		 0.2725	0.31438	20.6125
17 		 0.26938	0.50813	20.8062
18 		 0.265	0.4275	21.0312
19 		 0.2725	0.41937	21.4125
20 		 0.27125	0.67563	21.4563
21 		 0.26438	0.96562	21.8813
22 		 0.26687	1.0794	21.9312
23 		 0.26938	1.0106	22.025
24 		 0.27063	1.2725	22.2688
25 		 0.26687	1.3987	22.3687
26 		 0.28	1.4675	22.65
27 		 0.2775	1.6431	23.1563
28 		 0.265	1.4775	23.4375
29 		 0.28125	1.6175	23.6375
30 		 0.26375	1.6525	23.8375
31 		 0.26938	1.6994	24.4125
32 		 0.27875	1.7344	24.55
33 		 0.265	1.7169	24.975
34 		 0.26562	1.63	25.2063
35 		 0.25875	1.5831	25.4563
36 		 0.26312	1.705	25.9
37 		 0.25562	1.7244	26.2125
38 		 0.24562	1.2756	26.5437
39 		 0.2425	1.35	27.0938
40 		 0.23062	1.4875	27.4438
41 		 0.28	1.3581	28.0312
42 		 0.27063	1.3675	28.3375
43 		 0.26562	1.2869	28.825
44 		 0.28813	1.2781	29.425
45 		 0.28313	1.1431	29.7063
46 		 0.36812	1.0431	30.2313
47 		 0.43188	1.0806	30.6687
48 		 0.51187	1.1462	31.2
49 		 0.60688	1.0513	31.5688
50 		 1.3856	0.28687	30.8375
51 		 0.38938	1.1031	31.625
52 		 0.60813	1.1475	32.6187
53 		 0.7175	0.98125	33.575
54 		 0.80187	0.96125	34.1313
55 		 0.845	0.80438	35.0312
56 		 0.90375	0.87375	35.65
57 		 1.06	0.55	36.95
58 		 1.1706	0.57812	38.3625
59 		 1.2412	0.57063	39.4625
60 		 1.3781	0.36	40.8563
61 		 1.5381	0.35625	41.9813
62 		 1.7025	0.28937	44.0812
63 		 1.9431	0.27625	45.475
64 		 1.96	0.27375	47.575
65 		 2.1044	0.25	48.8125
66 		 2.0544	0.24813	49.4562
67 		 2.0731	0.2575	51.2813
68 		 1.9925	0.26562	53.7
M-Reflex_Max 		2.1044 		 48.8125
H-Reflex_Max 			1.7344	 24.55
