Interval=	2.5e-005 s
ExcelDateTime=	4.5118458043802515e+004	2023-07-11 10:59:34.984538
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Sol_EMG	Current
Range=	20.000 mV	200.0 mV
-0.05	0.135625	0.1375
-0.049975	0.135625	0.125
-0.04995	0.135625	0.1125
-0.049925	0.135625	0.1
-0.0499	0.135625	0.03125
-0.049875	0.135625	0.05625
-0.04985	0.135625	0.0875
-0.049825	0.135625	0.075
-0.0498	0.135625	0.11875
-0.049775	0.1575	0.1125
-0.04975	0.1575	0.01875
-0.049725	0.1575	0.15
-0.0497	0.1575	0.09375
-0.049675	0.1575	0.1
-0.04965	0.1575	-0.025
-0.049625	0.1575	0.05625
-0.0496	0.1575	0.01875
-0.049575	0.1575	0.15625
-0.04955	0.1575	-0.025
-0.049525	0.15125	0.075
-0.0495	0.15125	0.1
-0.049475	0.15125	0.025
-0.04945	0.15125	0.00625
-0.049425	0.15125	0.075
-0.0494	0.15125	0.04375
-0.049375	0.15125	-0.0125
-0.04935	0.15125	0.16875
-0.049325	0.15125	0.025
-0.0493	0.15125	0.19375
-0.049275	0.139375	0.08125
-0.04925	0.139375	0.0625
-0.049225	0.139375	0.13125
-0.0492	0.139375	0.0625
-0.049175	0.139375	0.0375
-0.04915	0.139375	0.1625
-0.049125	0.139375	0.11875
-0.0491	0.139375	-0.0375
-0.049075	0.139375	0.00625
-0.04905	0.139375	0.0875
-0.049025	0.13625	0.10625
-0.049	0.13625	0.05625
-0.048975	0.13625	0.05625
-0.04895	0.13625	0.09375
-0.048925	0.13625	0.00625
-0.0489	0.13625	0.11875
-0.048875	0.13625	-0.0125
-0.04885	0.13625	0.1375
-0.048825	0.13625	0.0125
-0.0488	0.13625	0.18125
-0.048775	0.10875	0.05625
-0.04875	0.10875	0.0125
-0.048725	0.10875	0.08125
-0.0487	0.10875	0.03125
-0.048675	0.10875	-0.0125
-0.04865	0.10875	0.10625
-0.048625	0.10875	0.075
-0.0486	0.10875	0.00625
-0.048575	0.10875	0.075
-0.04855	0.10875	0.0875
-0.048525	0.120625	0.01875
-0.0485	0.120625	0.075
-0.048475	0.120625	0.04375
-0.04845	0.120625	0.125
-0.048425	0.120625	0.03125
-0.0484	0.120625	0.1125
-0.048375	0.120625	0.13125
-0.04835	0.120625	0.0625
-0.048325	0.120625	0.09375
-0.0483	0.120625	0.09375
-0.048275	0.1375	-0.00625
-0.04825	0.1375	0.1375
-0.048225	0.1375	0.0375
-0.0482	0.1375	0.025
-0.048175	0.1375	-0.00625
-0.04815	0.1375	0.09375
-0.048125	0.1375	-0.00625
-0.0481	0.1375	0.06875
-0.048075	0.1375	0.10625
-0.04805	0.1375	0.125
-0.048025	0.13625	0.1125
-0.048	0.13625	0.11875
-0.047975	0.13625	0.1375
-0.04795	0.13625	0.125
-0.047925	0.13625	0.175
-0.0479	0.13625	0.08125
-0.047875	0.13625	0.04375
-0.04785	0.13625	0.05
-0.047825	0.13625	0.01875
-0.0478	0.13625	0.0375
-0.047775	0.15875	0.06875
-0.04775	0.15875	0.13125
-0.047725	0.15875	0.10625
-0.0477	0.15875	0.05
-0.047675	0.15875	0.0875
-0.04765	0.15875	0
-0.047625	0.15875	0.0875
-0.0476	0.15875	-0.0125
-0.047575	0.15875	0.03125
-0.04755	0.15875	0.05
-0.047525	0.144375	0.14375
-0.0475	0.144375	-0.05
-0.047475	0.144375	0.075
-0.04745	0.144375	0.0625
-0.047425	0.144375	0.0875
-0.0474	0.144375	-0.0125
-0.047375	0.144375	0.10625
-0.04735	0.144375	0.10625
-0.047325	0.144375	0.11875
-0.0473	0.144375	0.11875
-0.047275	0.134375	0.06875
-0.04725	0.134375	0.09375
-0.047225	0.134375	0.1375
-0.0472	0.134375	0.1375
-0.047175	0.134375	0.05
-0.04715	0.134375	0.1375
-0.047125	0.134375	0.15625
-0.0471	0.134375	0.00625
-0.047075	0.134375	0.03125
-0.04705	0.134375	0.05
-0.047025	0.130625	0.025
-0.047	0.130625	0.13125
-0.046975	0.130625	0.06875
-0.04695	0.130625	0.0875
-0.046925	0.130625	0.08125
-0.0469	0.130625	0.09375
-0.046875	0.130625	0.025
-0.04685	0.130625	0.05
-0.046825	0.130625	0.1
-0.0468	0.130625	0.11875
-0.046775	0.1025	0.15
-0.04675	0.1025	0.03125
-0.046725	0.1025	0
-0.0467	0.1025	0.1125
-0.046675	0.1025	0.13125
-0.04665	0.1025	0.15625
-0.046625	0.1025	0.08125
-0.0466	0.1025	0.0875
-0.046575	0.1025	0.10625
-0.04655	0.1025	0.06875
-0.046525	0.125	0.10625
-0.0465	0.125	0.0125
-0.046475	0.125	0.05
-0.04645	0.125	0.05625
-0.046425	0.125	0.0375
-0.0464	0.125	0.0625
-0.046375	0.125	0.09375
-0.04635	0.125	0.05625
-0.046325	0.125	0.15625
-0.0463	0.125	-0.01875
-0.046275	0.13	-0.0125
-0.04625	0.13	0.06875
-0.046225	0.13	0.1
-0.0462	0.13	0.10625
-0.046175	0.13	0
-0.04615	0.13	0.15
-0.046125	0.13	0.0875
-0.0461	0.13	0.0125
-0.046075	0.13	0.1
-0.04605	0.13	0.1125
-0.046025	0.131875	0.0125
-0.046	0.131875	0
-0.045975	0.131875	0.03125
-0.04595	0.131875	0.08125
-0.045925	0.131875	0.08125
-0.0459	0.131875	0.03125
-0.045875	0.131875	0.0875
-0.04585	0.131875	0.0125
-0.045825	0.131875	0.1
-0.0458	0.131875	0.075
-0.045775	0.16375	0.075
-0.04575	0.16375	-0.025
-0.045725	0.16375	0.05
-0.0457	0.16375	0.125
-0.045675	0.16375	0.06875
-0.04565	0.16375	0.175
-0.045625	0.16375	0.14375
-0.0456	0.16375	-0.025
-0.045575	0.16375	0.04375
-0.04555	0.16375	0.04375
-0.045525	0.138125	0.125
-0.0455	0.138125	0.00625
-0.045475	0.138125	0.00625
-0.04545	0.138125	0.0375
-0.045425	0.138125	-0.03125
-0.0454	0.138125	0.08125
-0.045375	0.138125	0.125
-0.04535	0.138125	0.1625
-0.045325	0.138125	-0.0125
-0.0453	0.138125	0.2375
-0.045275	0.134375	0.11875
-0.04525	0.134375	0.0625
-0.045225	0.134375	0.11875
-0.0452	0.134375	0.09375
-0.045175	0.134375	0.00625
-0.04515	0.134375	0.0125
-0.045125	0.134375	0.06875
-0.0451	0.134375	0.0375
-0.045075	0.134375	0.01875
-0.04505	0.134375	0.05
-0.045025	0.133125	0.10625
-0.045	0.133125	0.05
-0.044975	0.133125	0.08125
-0.04495	0.133125	0.04375
-0.044925	0.133125	0.00625
-0.0449	0.133125	-0.00625
-0.044875	0.133125	0.1125
-0.04485	0.133125	0.08125
-0.044825	0.133125	0.10625
-0.0448	0.133125	0.125
-0.044775	0.099375	0.03125
-0.04475	0.099375	0.1125
-0.044725	0.099375	0.10625
-0.0447	0.099375	0.0125
-0.044675	0.099375	0.05625
-0.04465	0.099375	0.05
-0.044625	0.099375	0.04375
-0.0446	0.099375	0.06875
-0.044575	0.099375	-0.00625
-0.04455	0.099375	-0.025
-0.044525	0.12375	0.09375
-0.0445	0.12375	0.04375
-0.044475	0.12375	0.025
-0.04445	0.12375	0.0875
-0.044425	0.12375	-0.01875
-0.0444	0.12375	0.04375
-0.044375	0.12375	0.11875
-0.04435	0.12375	0.09375
-0.044325	0.12375	0.03125
-0.0443	0.12375	0.0875
-0.044275	0.126875	0.00625
-0.04425	0.126875	0.14375
-0.044225	0.126875	-0.04375
-0.0442	0.126875	0.125
-0.044175	0.126875	0.025
-0.04415	0.126875	0.075
-0.044125	0.126875	0.025
-0.0441	0.126875	0.05
-0.044075	0.126875	0.1625
-0.04405	0.126875	0.0375
-0.044025	0.1325	0.11875
-0.044	0.1325	0.09375
-0.043975	0.1325	0.08125
-0.04395	0.1325	0.0625
-0.043925	0.1325	0.1625
-0.0439	0.1325	0.1125
-0.043875	0.1325	0.08125
-0.04385	0.1325	0.09375
-0.043825	0.1325	0.10625
-0.0438	0.1325	0.05
-0.043775	0.155625	0.06875
-0.04375	0.155625	0.09375
-0.043725	0.155625	0.08125
-0.0437	0.155625	0.20625
-0.043675	0.155625	0.125
-0.04365	0.155625	0.1125
-0.043625	0.155625	0.0375
-0.0436	0.155625	0.06875
-0.043575	0.155625	-0.0625
-0.04355	0.155625	0.03125
-0.043525	0.13125	0.05625
-0.0435	0.13125	0.13125
-0.043475	0.13125	0.1375
-0.04345	0.13125	0.11875
-0.043425	0.13125	0.05
-0.0434	0.13125	0.075
-0.043375	0.13125	0.14375
-0.04335	0.13125	0
-0.043325	0.13125	0.10625
-0.0433	0.13125	0.125
-0.043275	0.128125	0.04375
-0.04325	0.128125	0.0375
-0.043225	0.128125	0.01875
-0.0432	0.128125	0.11875
-0.043175	0.128125	0.075
-0.04315	0.128125	0.0625
-0.043125	0.128125	0.10625
-0.0431	0.128125	0.01875
-0.043075	0.128125	0.0375
-0.04305	0.128125	0.04375
-0.043025	0.11375	0.0875
-0.043	0.11375	0.0875
