Trail Number 		M-Reflex 	H-Reflex 	Voltage
1 		 2.8906	0.475	4.5188
2 		 3.0812	0.65625	5.0031
3 		 2.4544	0.48375	5.2625
4 		 0.59	0.47125	4.9781
5 		 1.3887	0.87625	4.2906
6 		 1.8263	0.1025	5.3938
7 		 2.3138	0.29437	4.6781
8 		 2.5656	0.52438	4.6
9 		 2.8256	0.43312	5.7562
10 		 2.995	0.47	5.6813
11 		 3.08	0.46375	5.9406
12 		 3.2637	0.34687	6.5219
13 		 3.2988	0.79438	6.725
14 		 3.3	0.415	6.7906
15 		 3.4362	0.37125	6.675
16 		 3.5488	0.36875	7.7156
17 		 3.5681	0.62875	7.9625
18 		 3.6594	0.37062	7.9781
19 		 3.7363	0.37	8.3812
20 		 3.675	0.355	6.8281
21 		 3.7694	0.39	8.0156
22 		 3.7388	0.4525	8.4156
23 		 3.4256	1.6994	8.6469
24 		 3.5412	2.995	8.9469
25 		 3.5719	2.4231	7.4813
26 		 3.5687	1.4556	8.6594
27 		 3.635	3.0219	9.2406
28 		 3.6094	3.0713	8.2156
29 		 3.5962	2.9087	8.5781
30 		 3.5381	5.155	9.2688
31 		 3.5319	6.975	8.3969
32 		 3.5394	7.2575	9.7031
33 		 3.5675	7.8313	10.1906
34 		 3.4438	9.1137	10.3656
35 		 3.5081	8.9056	9.9531
36 		 3.385	7.7675	9.5969
37 		 3.6787	10.1325	10.5906
38 		 3.6338	10.1538	11.1688
39 		 3.9444	10.0919	10.5281
40 		 4.1506	9.0144	10.7812
41 		 4.8625	7.2488	11.2969
42 		 5.6531	8.3513	14.1594
43 		 6.2325	8.1769	13.1594
44 		 6.7169	7.7144	16.0406
45 		 7.2669	7.3462	16.2188
46 		 8.7825	5.955	16.8687
47 		 9.7581	4.3419	18.2781
48 		 11.0756	2.2831	19.3687
49 		 12.6719	1.4406	20.4781
50 		 13.7819	1.5444	22.8813
51 		 14.2037	0.79875	24.25
52 		 14.9894	0.795	23.2625
53 		 15.5313	0.62938	25.8687
54 		 16.27	1.6594	24.9844
55 		 16.67	1.1075	26.6094
56 		 16.7425	1.05	30.4281
57 		 15.6469	0.70625	31.8219
58 		 15.8131	1.2044	33.3125
59 		 15.6081	0.765	33.9969
M-Reflex_Max 		16.7425 		 30.4281
H-Reflex_Max 			10.1538	 11.1688
