Trail Number 		Maximum(uV) 	Maximum Time(s) 	Minimum(uV) 	Minimum Time(s) 	Peak-Peak(uV) 	Duration(s)  	Onset(s) 	Offset(s)
4 		 0.47437	0.033	-0.46469	0.03125	0.93906	0.00175	0.0295	0.04775
5 		 0.43469	0.0325	-0.53375	0.031	0.96844	0.0015	0.029	0.049
7 		 0.47125	0.03275	-0.47563	0.03125	0.94688	0.0015	0.028	0.034
9 		 0.4375	0.03275	-0.47813	0.03125	0.91563	0.0015	0.0295	0.034
21 		 0.35844	0.03275	-0.54312	0.03125	0.90156	0.0015	0.02875	0.03325
22 		 0.36719	0.03275	-0.545	0.03125	0.91219	0.0015	0.02675	0.03325
23 		 0.40656	0.03275	-0.54531	0.031	0.95188	0.00175	0.02825	0.0515
24 		 0.45719	0.0325	-0.49344	0.031	0.95063	0.0015	0.029	0.03325
25 		 0.4275	0.0325	-0.45687	0.031	0.88437	0.0015	0.02825	0.0335
26 		 0.48875	0.0325	-0.53844	0.031	1.0272	0.0015	0.02925	0.051
27 		 0.48438	0.03275	-0.43031	0.03125	0.91469	0.0015	0.02875	0.03375
28 		 0.47969	0.03275	-0.54	0.03125	1.0197	0.0015	0.02925	0.05125
29 		 0.51438	0.03275	-0.52344	0.03125	1.0378	0.0015	0.02925	0.051
31 		 0.30469	0.03225	-0.70594	0.03075	1.0106	0.0015	0.025	0.0515
32 		 0.52125	0.03225	-0.55375	0.03075	1.075	0.0015	0.027	0.0515
33 		 0.44906	0.03225	-0.5875	0.03075	1.0366	0.0015	0.02625	0.03325
34 		 0.50687	0.03225	-0.52656	0.03075	1.0334	0.0015	0.02375	0.0495
35 		 0.44906	0.03225	-0.53969	0.03075	0.98875	0.0015	0.02825	0.03325
36 		 0.4225	0.03225	-0.52063	0.03075	0.94312	0.0015	0.02825	0.03325
37 		 0.49656	0.03225	-0.5475	0.03075	1.0441	0.0015	0.02825	0.0515
38 		 0.49219	0.03225	-0.54063	0.03075	1.0328	0.0015	0.014	0.0515
39 		 0.42375	0.0325	-0.48156	0.03075	0.90531	0.00175	0.028	0.0515
40 		 0.33656	0.03225	-0.50844	0.03075	0.845	0.0015	0.026	0.033
53 		 0.45156	0.033	-0.42156	0.03125	0.87312	0.00175	0.0295	0.0495
54 		 0.45906	0.03275	-0.43031	0.03125	0.88938	0.0015	0.02925	0.034
57 		 0.46406	0.03275	-0.41625	0.03125	0.88031	0.0015	0.02575	0.0515
60 		 0.46031	0.033	-0.41781	0.0315	0.87813	0.0015	0.02525	0.0515
61 		 0.37375	0.0325	-0.50187	0.031	0.87562	0.0015	0.02575	0.05025
62 		 0.46813	0.03275	-0.45594	0.031	0.92406	0.00175	0.025	0.0515
63 		 0.46344	0.0325	-0.46813	0.031	0.93156	0.0015	0.02575	0.05025
64 		 0.44031	0.0325	-0.4275	0.03075	0.86781	0.00175	0.0245	0.0515
66 		 0.45625	0.0325	-0.45062	0.031	0.90687	0.0015	0.02425	0.0515
67 		 0.47875	0.03275	-0.4425	0.031	0.92125	0.00175	0.02575	0.051
68 		 0.43719	0.03275	-0.48219	0.031	0.91938	0.00175	0.0285	0.0515
69 		 0.42719	0.03225	-0.48125	0.03075	0.90844	0.0015	0.02475	0.0515
70 		 0.48219	0.0325	-0.45469	0.031	0.93688	0.0015	0.029	0.03375
71 		 0.45031	0.03225	-0.48	0.0305	0.93031	0.00175	0.02475	0.0515
72 		 0.49094	0.03225	-0.48562	0.0305	0.97656	0.00175	0.0235	0.0515
73 		 0.43	0.03225	-0.43688	0.03075	0.86688	0.0015	0.0245	0.051
74 		 0.44969	0.03225	-0.44156	0.0305	0.89125	0.00175	0.0245	0.051
75 		 0.44562	0.03225	-0.46531	0.0305	0.91094	0.00175	0.026	0.0515
76 		 0.42562	0.03225	-0.47469	0.03075	0.90031	0.0015	0.0245	0.0515
77 		 0.44312	0.03225	-0.47156	0.0305	0.91469	0.00175	0.02625	0.051
78 		 0.495	0.03225	-0.49562	0.0305	0.99062	0.00175	0.02575	0.05
79 		 0.44344	0.03225	-0.4075	0.03075	0.85094	0.0015	0.0265	0.04975
80 		 0.43781	0.032	-0.53094	0.0305	0.96875	0.0015	0.02425	0.0515
