Interval=	0.00025 s
ExcelDateTime=	4.4705550345423639e+004	2022-05-24 13:12:29.844603
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Raw EMG 1	RMS EMG
Range=	10.000 mV	42.46 V
-0.05	0.06125	7.684157
-0.04975	0.0603125	7.684157
-0.0495	0.061875	7.684157
-0.04925	0.060625	7.684157
-0.049	0.0621875	7.684157
-0.04875	0.06625	7.684157
-0.0485	0.0678125	7.684157
-0.04825	0.069375	7.684157
-0.048	0.0725	7.684157
-0.04775	0.06875	7.684157
-0.0475	0.06625	7.684157
-0.04725	0.0628125	7.684157
-0.047	0.0609375	7.684157
-0.04675	0.059375	7.684157
-0.0465	0.0584375	7.684157
-0.04625	0.0578125	7.684157
-0.046	0.05875	7.684157
-0.04575	0.0575	7.684157
-0.0455	0.059375	7.684157
-0.04525	0.0584375	7.684157
-0.045	0.0596875	7.684157
-0.04475	0.06	7.684157
-0.0445	0.0603125	7.684157
-0.04425	0.064375	7.684157
-0.044	0.07	7.684157
-0.04375	0.069375	7.684157
-0.0435	0.0715625	7.684157
-0.04325	0.0721875	7.684157
-0.043	0.0725	7.684157
-0.04275	0.069375	7.684157
-0.0425	0.0696875	7.684157
-0.04225	0.0709375	7.684157
-0.042	0.0709375	7.684157
-0.04175	0.0690625	7.684157
-0.0415	0.0690625	7.684157
-0.04125	0.0675	7.684157
-0.041	0.068125	7.684157
-0.04075	0.066875	7.684157
-0.0405	0.0640625	7.684157
-0.04025	0.0640625	7.684157
-0.04	0.063125	7.684157
-0.03975	0.06375	7.684157
-0.0395	0.06	7.684157
-0.03925	0.0590625	7.684157
-0.039	0.0575	7.684157
-0.03875	0.055625	7.684157
-0.0385	0.05375	7.684157
-0.03825	0.0559375	7.684157
-0.038	0.05625	7.684157
-0.03775	0.05625	7.684157
-0.0375	0.06	7.684157
-0.03725	0.0596875	7.684157
-0.037	0.060625	7.684157
-0.03675	0.0640625	7.684157
-0.0365	0.0646875	7.684157
-0.03625	0.066875	7.684157
-0.036	0.0665625	7.684157
-0.03575	0.06875	7.684157
-0.0355	0.0684375	7.684157
-0.03525	0.0665625	7.684157
-0.035	0.0690625	7.684157
-0.03475	0.0678125	7.684157
-0.0345	0.06625	7.684157
-0.03425	0.0678125	7.684157
-0.034	0.0653125	7.684157
-0.03375	0.065	7.684157
-0.0335	0.0640625	7.684157
-0.03325	0.063125	7.684157
-0.033	0.0628125	7.684157
-0.03275	0.0603125	7.684157
-0.0325	0.0659375	7.684157
-0.03225	0.0690625	7.684157
-0.032	0.0665625	7.684157
-0.03175	0.066875	7.684157
-0.0315	0.06625	7.684157
-0.03125	0.0646875	7.684157
-0.031	0.0646875	7.684157
-0.03075	0.0646875	7.684157
-0.0305	0.066875	7.684157
-0.03025	0.06625	7.684157
-0.03	0.0696875	7.684157
-0.02975	0.0709375	7.684157
-0.0295	0.06625	7.684157
-0.02925	0.06625	7.684157
-0.029	0.063125	7.684157
-0.02875	0.056875	7.684157
-0.0285	0.055625	7.684157
-0.02825	0.0540625	7.684157
-0.028	0.0571875	7.684157
-0.02775	0.060625	7.684157
-0.0275	0.0628125	7.684157
-0.02725	0.0665625	7.684157
-0.027	0.065	7.684157
-0.02675	0.065625	7.684157
-0.0265	0.0640625	7.684157
-0.02625	0.0609375	7.684157
-0.026	0.06125	7.684157
-0.02575	0.0596875	7.684157
-0.0255	0.056875	7.684157
-0.02525	0.05625	7.684157
-0.025	0.0546875	7.684157
-0.02475	0.055	7.684157
-0.0245	0.0553125	7.684157
-0.02425	0.0521875	7.684157
-0.024	0.05125	7.684157
-0.02375	0.0503125	7.684157
-0.0235	0.0503125	7.684157
-0.02325	0.0515625	7.684157
-0.023	0.049375	7.684157
-0.02275	0.05125	7.684157
-0.0225	0.0534375	7.684157
-0.02225	0.0528125	7.684157
-0.022	0.05375	7.684157
-0.02175	0.0528125	7.684157
-0.0215	0.0534375	7.684157
-0.02125	0.05375	7.684157
-0.021	0.0546875	7.684157
-0.02075	0.0571875	7.684157
-0.0205	0.0553125	7.684157
-0.02025	0.0584375	7.684157
-0.02	0.0590625	7.684157
-0.01975	0.05875	7.684157
-0.0195	0.0584375	7.684157
-0.01925	0.0609375	7.684157
-0.019	0.0628125	7.684157
-0.01875	0.0625	7.684157
-0.0185	0.0609375	7.684157
-0.01825	0.0634375	7.684157
-0.018	0.0615625	7.684157
-0.01775	0.06125	7.684157
-0.0175	0.063125	7.684157
-0.01725	0.0628125	7.684157
-0.017	0.063125	7.684157
-0.01675	0.0634375	7.684157
-0.0165	0.0615625	7.684157
-0.01625	0.0640625	7.684157
-0.016	0.06375	7.684157
-0.01575	0.0615625	7.684157
-0.0155	0.061875	7.684157
-0.01525	0.06125	7.684157
-0.015	0.0625	7.684157
-0.01475	0.061875	7.684157
-0.0145	0.06	7.684157
-0.01425	0.0609375	7.684157
-0.014	0.060625	7.684157
-0.01375	0.0615625	7.684157
-0.0135	0.064375	7.684157
-0.01325	0.0609375	7.684157
-0.013	0.0590625	7.684157
-0.01275	0.0603125	7.684157
-0.0125	0.0571875	7.684157
-0.01225	0.05625	7.684157
-0.012	0.053125	7.684157
-0.01175	0.0565625	7.684157
-0.0115	0.055625	7.684157
-0.01125	0.0546875	7.684157
-0.011	0.0575	7.684157
-0.01075	0.055	7.684157
-0.0105	0.05375	7.684157
-0.01025	0.0575	7.684157
-0.01	0.055625	7.684157
-0.00975	0.054375	7.684157
-0.0095	0.05375	7.684157
-0.00925	0.0540625	7.684157
-0.009	0.0546875	7.684157
-0.00875	0.053125	7.684157
-0.0085	0.0546875	7.684157
-0.00825	0.0540625	7.684157
-0.008	0.055625	7.684157
-0.00775	0.0596875	7.684157
-0.0075	0.06125	7.684157
-0.00725	0.06375	7.684157
-0.007	0.0671875	7.684157
-0.00675	0.0684375	7.684157
-0.0065	0.070625	7.684157
-0.00625	0.073125	7.684157
-0.006	0.0703125	7.684157
-0.00575	0.07	7.684157
-0.0055	0.06625	7.684157
-0.00525	0.061875	7.684157
-0.005	0.0534375	7.684157
-0.00475	0.04875	7.684157
-0.0045	0.0453125	7.684157
-0.00425	0.041875	7.684157
-0.004	0.0428125	7.684157
-0.00375	0.045	7.684157
-0.0035	0.0459375	7.684157
-0.00325	0.0475	7.684157
-0.003	0.0478125	7.684157
-0.00275	0.0475	7.684157
-0.0025	0.0459375	7.684157
-0.00225	0.046875	7.684157
-0.002	0.053125	7.684157
-0.00175	0.0540625	7.684157
-0.0015	0.055	7.684157
-0.00125	0.0603125	7.684157
-0.001	0.06375	7.684157
-0.00075	0.06875	7.684157
-0.0005	0.070625	7.684157
-0.00025	0.075625	7.684157
0	0.0815625	7.684157
0.00025	0.083125	7.692085
0.0005	0.595625	7.699928
0.00075	0.1153125	7.696503
0.001	-0.1475	7.692794
0.00125	0.0734375	7.688527
0.0015	0.11625	7.684227
0.00175	0.0990625	7.679643
0.002	0.0915625	7.674893
0.00225	0.0859375	7.670026
0.0025	0.08125	7.665083
0.00275	0.0790625	7.660078
0.003	0.0796875	7.655019
0.00325	0.0790625	7.649895
0.0035	0.0753125	7.644702
0.00375	0.0753125	7.639464
0.004	0.0775	7.634177
0.00425	0.075	7.628831
0.0045	0.074375	7.62344
0.00475	0.0740625	7.618007
0.005	0.07125	7.612543
0.00525	0.0725	7.607059
0.0055	0.0725	7.601552
0.00575	0.0746875	7.596025
0.006	0.074375	7.590473
0.00625	0.0728125	7.584895
0.0065	0.07375	7.579317
0.00675	0.07125	7.573724
0.007	0.0709375	7.568133
0.00725	0.0721875	7.562549
0.0075	0.065625	7.556959
0.00775	0.0690625	7.551382
0.008	0.0659375	7.545798
0.00825	0.063125	7.54023
0.0085	0.0640625	7.534682
0.00875	0.0628125	7.529143
0.009	0.064375	7.523623
0.00925	0.0615625	7.518111
0.0095	0.0609375	7.512619
0.00975	0.06125	7.50715
0.01	0.05875	7.501693
0.01025	0.06	7.49626
0.0105	0.0609375	7.490843
0.01075	0.056875	7.485434
0.011	0.0590625	7.480046
0.01125	0.0590625	7.474659
0.0115	0.0584375	7.469277
0.01175	0.0584375	7.4639
0.012	0.0590625	7.458517
0.01225	0.0571875	7.453129
0.0125	0.056875	7.447745
0.01275	0.058125	7.442361
0.013	0.0596875	7.436978
0.01325	0.058125	7.431591
0.0135	0.0584375	7.426207
0.01375	0.0609375	7.420836
0.014	0.058125	7.415472
0.01425	0.0571875	7.410136
0.0145	0.06	7.404828
0.01475	0.058125	7.399547
0.015	0.0571875	7.394302
0.01525	0.0584375	7.389091
0.0155	0.06	7.383923
0.01575	0.06	7.378787
0.016	0.05875	7.37368
0.01625	0.06375	7.36861
0.0165	0.060625	7.363546
0.01675	0.06125	7.358504
0.017	0.0646875	7.353477
0.01725	0.064375	7.348448
0.0175	0.065	7.343423
0.01775	0.065	7.338389
0.018	0.065	7.333366
0.01825	0.0640625	7.328366
0.0185	0.065	7.323381
0.01875	0.065	7.318407
0.019	0.064375	7.313445
0.01925	0.0621875	7.308496
0.0195	0.0625	7.303565
0.01975	0.063125	7.298656
0.02	0.0653125	7.293769
0.02025	0.0684375	7.2889
0.0205	0.06875	7.284034
0.02075	0.069375	7.279178
0.021	0.069375	7.274315
0.02125	0.0715625	7.26945
0.0215	0.073125	7.26457
0.02175	0.07375	7.25964
0.022	0.0740625	7.254665
0.02225	0.0746875	7.249645
0.0225	0.0715625	7.244577
0.02275	0.0690625	7.239483
0.023	0.061875	7.234378
0.02325	0.0609375	7.229306
0.0235	0.0634375	7.224266
0.02375	0.065	7.219242
0.024	0.066875	7.214231
0.02425	0.065625	7.209213
0.0245	0.0646875	7.204197
0.02475	0.0628125	7.19918
0.025	0.0609375	7.194161
0.02525	0.0634375	7.189143
0.0255	0.06375	7.18411
0.02575	0.0634375	7.179057
0.026	0.0634375	7.173989
0.02625	0.0609375	7.168897
0.0265	0.0625	7.163785
0.02675	0.0615625	7.158645
0.027	0.05875	7.153474
0.02725	0.0621875	7.148281
0.0275	0.0609375	7.143047
0.02775	0.0621875	7.137772
0.028	0.061875	7.132454
