Interval=	0.0001 s
ExcelDateTime=	4.4825385931571953e+004	2022-09-21 9:15:44.487817
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Raw EMG 1	RMS EMG	Grip Force
Range=	10.000 mV	42.46 V	1000.0 mV
UnitName=	*	*	N
TopValue=	*	*	800.0
BottomValue=	*	*	-800.0
0	0.068125	7.104497	0
0.0001	0.068125	7.104497	0
0.0002	0.068125	7.104497	0
0.0003	0.0703125	7.104497	0
0.0004	0.0703125	7.104497	0
0.0005	0.0675	7.104497	0
0.0006	0.0675	7.104497	0
0.0007	0.0675	7.104497	0
0.0008	0.0690625	7.104497	0
0.0009	0.0690625	7.104497	0
0.001	0.06875	7.104497	0
0.0011	0.06875	7.104497	0
0.0012	0.06875	7.104497	0
0.0013	0.0665625	7.104497	0
0.0014	0.0665625	7.104497	0
0.0015	0.0684375	7.104497	0
0.0016	0.0684375	7.104497	0
0.0017	0.0684375	7.104497	0
0.0018	0.06875	7.104497	0
0.0019	0.06875	7.104497	0
0.002	0.0671875	7.104497	0
0.0021	0.0671875	7.104497	0
0.0022	0.0671875	7.104497	0
0.0023	0.0678125	7.104497	0
0.0024	0.0678125	7.104497	0
0.0025	0.0671875	7.104497	0
0.0026	0.0671875	7.104497	0
0.0027	0.0671875	7.104497	0
0.0028	0.071875	7.104497	0
0.0029	0.071875	7.104497	0
0.003	0.0715625	7.104497	0
0.0031	0.0715625	7.104497	0
0.0032	0.0715625	7.104497	0
0.0033	0.07125	7.104497	0
0.0034	0.07125	7.104497	0
0.0035	0.0709375	7.104497	0
0.0036	0.0709375	7.104497	0
0.0037	0.0709375	7.104497	0
0.0038	0.06875	7.104497	0
0.0039	0.06875	7.104497	0
0.004	0.0715625	7.104497	0
0.0041	0.0715625	7.104497	0
0.0042	0.0715625	7.104497	0
0.0043	0.0725	7.104497	0
0.0044	0.0725	7.104497	0
0.0045	0.07	7.104497	0
0.0046	0.07	7.104497	0
0.0047	0.07	7.104497	0
0.0048	0.0715625	7.104497	0.025
0.0049	0.0715625	7.104497	0.025
0.005	0.0721875	7.104497	0.025
0.0051	0.0721875	7.104497	0.025
0.0052	0.0721875	7.104497	0.025
0.0053	0.070625	7.104497	0.025
0.0054	0.070625	7.104497	0.025
0.0055	0.0728125	7.104497	0.025
0.0056	0.0728125	7.104497	0.025
0.0057	0.0728125	7.104497	0.025
0.0058	0.0721875	7.104497	0.05
0.0059	0.0721875	7.104497	0.05
0.006	0.0715625	7.104497	0.05
0.0061	0.0715625	7.104497	0.05
0.0062	0.0715625	7.104497	0.05
0.0063	0.07125	7.104497	0.05
0.0064	0.07125	7.104497	0.075
0.0065	0.070625	7.104497	0.075
0.0066	0.070625	7.104497	0.075
0.0067	0.070625	7.104497	0.075
0.0068	0.0721875	7.104497	0.075
0.0069	0.0721875	7.104497	0.1
0.007	0.07125	7.104497	0.1
0.0071	0.07125	7.104497	0.1
0.0072	0.07125	7.104497	0.1
0.0073	0.07125	7.104497	0.1
0.0074	0.07125	7.104497	0.125
0.0075	0.074375	7.104497	0.125
0.0076	0.074375	7.104497	0.125
0.0077	0.074375	7.104497	0.15
0.0078	0.071875	7.104497	0.15
0.0079	0.071875	7.104497	0.15
0.008	0.0740625	7.104497	0.15
0.0081	0.0740625	7.104497	0.175
0.0082	0.0740625	7.104497	0.175
0.0083	0.0721875	7.104497	0.175
0.0084	0.0721875	7.104497	0.2
0.0085	0.0746875	7.104497	0.2
0.0086	0.0746875	7.104497	0.225
0.0087	0.0746875	7.104497	0.225
0.0088	0.0759375	7.104497	0.225
0.0089	0.0759375	7.104497	0.25
0.009	0.075625	7.104497	0.25
0.0091	0.075625	7.104497	0.275
0.0092	0.075625	7.104497	0.275
0.0093	0.076875	7.104497	0.3
0.0094	0.076875	7.104497	0.3
0.0095	0.0759375	7.104497	0.325
0.0096	0.0759375	7.104497	0.325
0.0097	0.0759375	7.104497	0.35
0.0098	0.073125	7.104497	0.35
0.0099	0.073125	7.104497	0.375
0.01	0.075625	7.104497	0.375
0.0101	0.075625	7.104497	0.4
0.0102	0.075625	7.104497	0.4
0.0103	0.07375	7.104497	0.425
0.0104	0.07375	7.104497	0.425
0.0105	0.07625	7.104497	0.45
0.0106	0.07625	7.104497	0.475
0.0107	0.07625	7.104497	0.475
0.0108	0.078125	7.104497	0.5
0.0109	0.078125	7.104497	0.525
0.011	0.076875	7.104497	0.525
0.0111	0.076875	7.104497	0.55
0.0112	0.076875	7.104497	0.575
0.0113	0.076875	7.104497	0.575
0.0114	0.076875	7.104497	0.6
0.0115	0.0746875	7.104497	0.625
0.0116	0.0746875	7.104497	0.65
0.0117	0.0746875	7.104497	0.65
0.0118	0.075	7.104497	0.675
0.0119	0.075	7.104497	0.7
0.012	0.07625	7.104497	0.725
0.0121	0.07625	7.104497	0.75
0.0122	0.07625	7.104497	0.75
0.0123	0.07625	7.104497	0.775
0.0124	0.07625	7.104497	0.8
0.0125	0.0771875	7.104497	0.825
0.0126	0.0771875	7.104497	0.85
0.0127	0.0771875	7.104497	0.875
0.0128	0.075625	7.104497	0.9
0.0129	0.075625	7.104497	0.925
0.013	0.075	7.104497	0.925
0.0131	0.075	7.104497	0.95
0.0132	0.075	7.104497	0.975
0.0133	0.073125	7.104497	1
0.0134	0.073125	7.104497	1.025
0.0135	0.07	7.104497	1.05
0.0136	0.07	7.104497	1.075
0.0137	0.07	7.104497	1.1
0.0138	0.07	7.104497	1.125
0.0139	0.07	7.104497	1.15
0.014	0.0725	7.104497	1.175
0.0141	0.0725	7.104497	1.2
0.0142	0.0725	7.104497	1.225
0.0143	0.07125	7.104497	1.275
0.0144	0.07125	7.104497	1.3
0.0145	0.073125	7.104497	1.325
0.0146	0.073125	7.104497	1.35
0.0147	0.073125	7.104497	1.375
0.0148	0.0709375	7.104497	1.4
0.0149	0.0709375	7.104497	1.425
0.015	0.07125	7.104497	1.45
0.0151	0.07125	7.104497	1.5
0.0152	0.07125	7.104497	1.525
0.0153	0.07125	7.104497	1.55
0.0154	0.07125	7.104497	1.575
0.0155	0.0671875	7.104497	1.6
0.0156	0.0671875	7.104497	1.65
0.0157	0.0671875	7.104497	1.675
0.0158	0.0703125	7.104497	1.7
0.0159	0.0703125	7.104497	1.725
0.016	0.07	7.104497	1.775
