Trial Number ,,M-Reflex ,H-Reflex ,Current
1 ,, 0.32,0.32562,19.6062
2 ,, 0.20375,0.19312,20.8375
3 ,, 0.2225,0.215,21.05
4 ,, 0.27125,0.2725,22.3062
5 ,, 0.21,0.21188,23.425
6 ,, 0.20813,0.21188,23.7625
7 ,, 0.23813,0.23187,24.4812
8 ,, 0.25438,0.2525,24.9625
9 ,, 0.24875,0.23688,25.8188
10 ,, 0.1875,0.195,26.65
11 ,, 0.20938,0.21625,27.7063
12 ,, 0.24875,0.25062,28.6687
13 ,, 0.205,0.20813,29.55
14 ,, 0.27687,0.27438,30.5562
15 ,, 0.27875,0.28,31.3313
16 ,, 0.2725,0.28125,32.0312
17 ,, 0.275,0.27187,32.9875
18 ,, 0.25938,0.27313,34.2687
19 ,, 0.24,0.17,33.2375
20 ,, 0.2475,0.22875,33.0187
21 ,, 0.2175,0.23875,33.8875
22 ,, 0.23125,0.24375,34.5
23 ,, 0.2275,0.38625,35.1063
24 ,, 0.24188,0.29563,35.4312
25 ,, 0.24562,0.53563,35.625
26 ,, 0.23125,0.72875,36.2125
27 ,, 0.24875,1.1719,36.15
28 ,, 0.2475,1.37,36.4375
29 ,, 0.2425,1.1681,36.9312
30 ,, 0.2225,1.8225,36.9875
31 ,, 0.2225,1.8838,37
32 ,, 0.215,1.6262,37.4125
33 ,, 0.22875,2.5125,37.6313
34 ,, 0.23125,4.5281,37.6187
35 ,, 0.25,4.2894,38.0312
36 ,, 0.23625,2.8906,38.7687
37 ,, 0.26625,3.8475,38.8312
38 ,, 0.24187,3.7862,39.125
39 ,, 0.24188,2.3194,37.7437
40 ,, 0.26187,3.4681,37.9188
41 ,, 0.2625,2.7769,38.1688
42 ,, 0.22188,1.7644,38.6437
43 ,, 0.19375,2.205,38.725
44 ,, 0.225,2.5312,38.5812
45 ,, 0.24,4.0656,39.1
46 ,, 0.20438,4.5519,39.1375
47 ,, 0.26437,5.7981,38.85
48 ,, 0.26687,3.9269,38.9625
49 ,, 0.27125,2.7881,39.4188
50 ,, 0.22875,1.835,39.7563
51 ,, 0.17938,1.0294,39.9625
52 ,, 0.1825,1.0569,40.1938
53 ,, 0.20563,1.8806,40.8438
54 ,, 0.33563,2.5187,39.0312
55 ,, 0.38937,1.7306,38.9688
56 ,, 0.3725,6.4206,40.7563
57 ,, 0.26938,6.6694,40.5312
58 ,, 0.24875,7.5131,40.9188
59 ,, 0.265,7.3963,41.325
60 ,, 0.23563,6.9213,41.9813
61 ,, 0.25812,6.3375,42.3813
62 ,, 0.2875,6.3775,43.2875
63 ,, 0.38562,6.4638,44.2188
64 ,, 0.41437,7.5044,45.4562
65 ,, 0.44938,8.0275,46.2938
66 ,, 0.44937,8.5675,46.625
67 ,, 0.475,8.4537,46.65
68 ,, 0.51438,8.4706,47.7812
69 ,, 0.67563,8.6494,48.4
70 ,, 0.80125,8.5256,49.0312
71 ,, 0.80625,8.4306,49.6437
72 ,, 0.90625,7.93,50.0187
73 ,, 0.905,8.0437,51.0562
74 ,, 1.0656,7.37,51.7188


M-Reflex_Max ,,1.0656 , M-Reflex_Max Current ,, 51.7188
H-Reflex_Max ,,8.6494, H-Reflex_Max Current ,, 48.4
Mmax-trial Number: ,,74
Hmax-trial Number: ,,69

Hmax Fifty-Percent-P2P Value: ,,4.2336
Hmax Fifty-Percent-P2P Current: ,,40.0598

Hmax Five-Percent-P2P Value: ,,0.29563
Hmax Five-Percent-P2P Current: ,,35.4312
Slope Value: ,,0.8737
