Trail Number 		M-Reflex 	H-Reflex 	Voltage
1 		 0.17	3.8594	18.6375
2 		 0.089375	0.088125	7.1437
3 		 0.44625	0.44875	9.1687
4 		 0.36688	0.38625	11.9938
5 		 0.31812	0.32562	14.9125
6 		 0.44312	0.45937	16.275
7 		 0.27313	0.23625	16.8125
8 		 0.29625	1.0381	17.575
9 		 0.32312	0.33875	16.8562
10 		 0.27	0.25312	17.0625
11 		 0.23875	0.525	17.4312
12 		 0.27	0.22937	17.4187
13 		 0.31937	0.84313	17.9438
14 		 0.29063	0.84688	18.1438
15 		 0.25625	1.0519	18.175
16 		 0.31	1.47	18.275
17 		 0.27938	1.8512	18.55
18 		 0.22875	0.97437	18.4
19 		 0.25688	0.56937	18.6125
20 		 0.21	1.5669	18.8813
21 		 0.22875	1.9719	19.075
22 		 0.23688	3.3887	19.15
23 		 0.275	5.0781	19.3313
24 		 0.25688	4.5744	19.4375
25 		 0.20875	5.1175	19.8313
26 		 0.265	6.9956	20.0375
27 		 0.22125	5.4306	20.325
28 		 0.29312	6.0856	20.8625
29 		 0.30062	6.6081	21.4188
30 		 0.35	6.8594	21.5
31 		 0.2475	6.6125	21.9625
32 		 0.26062	5.3894	22.3188
33 		 0.27187	6.9994	22.5688
34 		 0.22	8.1613	22.9813
35 		 0.21875	7.4644	23.4062
36 		 0.4475	8.5275	24.4187
37 		 0.49812	8.7237	24.7625
38 		 0.79812	8.3112	25.7125
39 		 0.98875	8.0412	26.1875
40 		 3.0112	6.8006	28.8125
41 		 4.5537	6.49	30.55
42 		 6.3431	5.2294	32.3375
43 		 7.8163	4.1312	34.0625
44 		 9.535	2.7681	36.1125
45 		 10.6419	1.6381	38.6187
46 		 11.0544	1.2281	39.8438
47 		 11.6125	0.61875	41.9188
48 		 11.5162	0.52875	44.2813
49 		 11.5569	0.42063	46.2
50 		 9.8012	0.34187	49.6688
M-Reflex_Max 		11.6125 		 41.9188
H-Reflex_Max 			8.7237	 24.7625
