Interval=	2.5e-005 s
ExcelDateTime=	4.5118483848858566e+004	2023-07-11 11:36:44.54138
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Sol_EMG	Current
Range=	20.000 mV	200.0 mV
-0.05	0.14	0.08125
-0.049975	0.14	0.04375
-0.04995	0.14	0.0875
-0.049925	0.14	0.025
-0.0499	0.14	0.04375
-0.049875	0.14	0.04375
-0.04985	0.14	0.1125
-0.049825	0.14	0.01875
-0.0498	0.14	0.0125
-0.049775	0.14	0.08125
-0.04975	0.1525	0.06875
-0.049725	0.1525	0.00625
-0.0497	0.1525	0.13125
-0.049675	0.1525	0.1125
-0.04965	0.1525	0.13125
-0.049625	0.1525	-0.00625
-0.0496	0.1525	0.11875
-0.049575	0.1525	0.09375
-0.04955	0.1525	0.11875
-0.049525	0.1525	0.1
-0.0495	0.1625	0.1
-0.049475	0.1625	0.04375
-0.04945	0.1625	0.06875
-0.049425	0.1625	0.075
-0.0494	0.1625	0.04375
-0.049375	0.1625	0.0375
-0.04935	0.1625	0.0125
-0.049325	0.1625	0.0375
-0.0493	0.1625	0.08125
-0.049275	0.1625	0.2
-0.04925	0.13625	0.05
-0.049225	0.13625	0.10625
-0.0492	0.13625	0.075
-0.049175	0.13625	0.225
-0.04915	0.13625	0.11875
-0.049125	0.13625	0.0125
-0.0491	0.13625	0.05625
-0.049075	0.13625	0.1125
-0.04905	0.13625	0.04375
-0.049025	0.13625	0.03125
-0.049	0.13625	0.05
-0.048975	0.13625	0.0375
-0.04895	0.13625	0.06875
-0.048925	0.13625	0.0375
-0.0489	0.13625	0.11875
-0.048875	0.13625	0.03125
-0.04885	0.13625	0.09375
-0.048825	0.13625	0.00625
-0.0488	0.13625	0.13125
-0.048775	0.13625	0.1
-0.04875	0.120625	0.10625
-0.048725	0.120625	0.08125
-0.0487	0.120625	0.15
-0.048675	0.120625	0.0375
-0.04865	0.120625	0.0875
-0.048625	0.120625	0.05625
-0.0486	0.120625	0.075
-0.048575	0.120625	0.11875
-0.04855	0.120625	0.09375
-0.048525	0.120625	0.09375
-0.0485	0.113125	0.1125
-0.048475	0.113125	0.08125
-0.04845	0.113125	0.0875
-0.048425	0.113125	0.10625
-0.0484	0.113125	0.075
-0.048375	0.113125	0.15
-0.04835	0.113125	0.11875
-0.048325	0.113125	0.14375
-0.0483	0.113125	-0.03125
-0.048275	0.113125	0.075
-0.04825	0.136875	0.05625
-0.048225	0.136875	0.0375
-0.0482	0.136875	0.1875
-0.048175	0.136875	0.075
-0.04815	0.136875	0.05625
-0.048125	0.136875	0.0875
-0.0481	0.136875	0.10625
-0.048075	0.136875	0.075
-0.04805	0.136875	0.1875
-0.048025	0.136875	0.03125
-0.048	0.141875	-0.00625
-0.047975	0.141875	0.11875
-0.04795	0.141875	0.10625
-0.047925	0.141875	0.1375
-0.0479	0.141875	0.11875
-0.047875	0.141875	0.0625
-0.04785	0.141875	0.11875
-0.047825	0.141875	0.05625
-0.0478	0.141875	0.1
-0.047775	0.141875	-0.03125
-0.04775	0.160625	0.1125
-0.047725	0.160625	0.025
-0.0477	0.160625	0.175
-0.047675	0.160625	0.05625
-0.04765	0.160625	0.1
-0.047625	0.160625	0.08125
-0.0476	0.160625	0.0375
-0.047575	0.160625	0.05625
-0.04755	0.160625	0.1
-0.047525	0.160625	0.06875
-0.0475	0.15625	0.0875
-0.047475	0.15625	0.23125
-0.04745	0.15625	0.1
-0.047425	0.15625	0.1125
-0.0474	0.15625	0.06875
-0.047375	0.15625	0.15625
-0.04735	0.15625	0.08125
-0.047325	0.15625	0.025
-0.0473	0.15625	0.08125
-0.047275	0.15625	0.1375
-0.04725	0.14125	0.11875
-0.047225	0.14125	0.06875
-0.0472	0.14125	0.025
-0.047175	0.14125	0.13125
-0.04715	0.14125	0.1125
-0.047125	0.14125	0.05
-0.0471	0.14125	0.03125
-0.047075	0.14125	0
-0.04705	0.14125	0.03125
-0.047025	0.14125	0.125
-0.047	0.14	0.04375
-0.046975	0.14	0.0875
-0.04695	0.14	0.03125
-0.046925	0.14	0.10625
-0.0469	0.14	0.15
-0.046875	0.14	0.15625
-0.04685	0.14	0.03125
-0.046825	0.14	0.03125
-0.0468	0.14	0.075
-0.046775	0.14	0.04375
-0.04675	0.108125	0.11875
-0.046725	0.108125	0.06875
-0.0467	0.108125	0.025
-0.046675	0.108125	0.125
-0.04665	0.108125	0.08125
-0.046625	0.108125	0.05
-0.0466	0.108125	0.1875
-0.046575	0.108125	0.1625
-0.04655	0.108125	0.03125
-0.046525	0.108125	0.09375
-0.0465	0.12	0.075
-0.046475	0.12	0.125
-0.04645	0.12	0.075
-0.046425	0.12	0.10625
-0.0464	0.12	0.18125
-0.046375	0.12	0.0625
-0.04635	0.12	0.125
-0.046325	0.12	0.075
-0.0463	0.12	0.05625
-0.046275	0.12	0.1125
-0.04625	0.13625	0.15
-0.046225	0.13625	0.01875
-0.0462	0.13625	0.06875
-0.046175	0.13625	-0.00625
-0.04615	0.13625	0.16875
-0.046125	0.13625	0.05625
-0.0461	0.13625	0.04375
-0.046075	0.13625	0.09375
-0.04605	0.13625	0.16875
-0.046025	0.13625	0.1125
-0.046	0.1425	0.04375
-0.045975	0.1425	0.00625
-0.04595	0.1425	0.0125
-0.045925	0.1425	0.11875
-0.0459	0.1425	0.1125
-0.045875	0.1425	0.075
-0.04585	0.1425	0.1
-0.045825	0.1425	0.0625
-0.0458	0.1425	0.05
-0.045775	0.1425	0.025
-0.04575	0.16875	0.1625
-0.045725	0.16875	0.0375
-0.0457	0.16875	0.1125
-0.045675	0.16875	0.05625
-0.04565	0.16875	0.19375
-0.045625	0.16875	0.03125
-0.0456	0.16875	0.08125
-0.045575	0.16875	0.08125
-0.04555	0.16875	0.075
-0.045525	0.16875	0
-0.0455	0.15375	0.06875
-0.045475	0.15375	0.03125
-0.04545	0.15375	0.125
-0.045425	0.15375	0.11875
-0.0454	0.15375	0.08125
-0.045375	0.15375	0.04375
-0.04535	0.15375	0.03125
-0.045325	0.15375	0.11875
-0.0453	0.15375	0.19375
-0.045275	0.15375	0.20625
-0.04525	0.1425	0.11875
-0.045225	0.1425	0.13125
-0.0452	0.1425	0.075
-0.045175	0.1425	0.0625
-0.04515	0.1425	0.125
-0.045125	0.1425	0.2
-0.0451	0.1425	0.0625
-0.045075	0.1425	0.08125
-0.04505	0.1425	0.05625
-0.045025	0.1425	0.08125
-0.045	0.14	0.075
-0.044975	0.14	-0.01875
-0.04495	0.14	-0.0125
-0.044925	0.14	0.0125
-0.0449	0.14	0.13125
-0.044875	0.14	0.025
-0.04485	0.14	0.1125
-0.044825	0.14	0.05
-0.0448	0.14	0.09375
-0.044775	0.14	0.10625
-0.04475	0.109375	0.0875
-0.044725	0.109375	0.04375
-0.0447	0.109375	0.19375
-0.044675	0.109375	0.0625
-0.04465	0.109375	0.0875
-0.044625	0.109375	0.09375
-0.0446	0.109375	0.1375
-0.044575	0.109375	0.00625
-0.04455	0.109375	-0.05625
-0.044525	0.109375	0.0125
-0.0445	0.12375	0.1
-0.044475	0.12375	0.05
-0.04445	0.12375	0.1125
-0.044425	0.12375	0.0625
-0.0444	0.12375	0.125
-0.044375	0.12375	0.1125
-0.04435	0.12375	0.10625
-0.044325	0.12375	0.05
-0.0443	0.12375	0.1
-0.044275	0.12375	0.05625
-0.04425	0.135625	0.04375
-0.044225	0.135625	0.1125
-0.0442	0.135625	0.11875
-0.044175	0.135625	0.0625
-0.04415	0.135625	0.075
-0.044125	0.135625	0.13125
-0.0441	0.135625	0.06875
-0.044075	0.135625	0.0625
-0.04405	0.135625	0.05625
-0.044025	0.135625	0.14375
-0.044	0.143125	0.125
-0.043975	0.143125	0.1
-0.04395	0.143125	0.025
-0.043925	0.143125	0.09375
-0.0439	0.143125	0.04375
-0.043875	0.143125	0.05
-0.04385	0.143125	0.175
-0.043825	0.143125	0.1375
-0.0438	0.143125	0.06875
-0.043775	0.143125	0.11875
-0.04375	0.1725	0.1625
-0.043725	0.1725	0.1
-0.0437	0.1725	0.125
-0.043675	0.1725	0.06875
-0.04365	0.1725	0.11875
-0.043625	0.1725	0.05
-0.0436	0.1725	0.0375
-0.043575	0.1725	0.1125
-0.04355	0.1725	0.1
-0.043525	0.1725	0.15625
-0.0435	0.15125	0.03125
-0.043475	0.15125	0.13125
-0.04345	0.15125	0.0625
-0.043425	0.15125	0.20625
-0.0434	0.15125	0.025
-0.043375	0.15125	0.0625
-0.04335	0.15125	0.0625
-0.043325	0.15125	0.1
-0.0433	0.15125	0.125
-0.043275	0.15125	0.0375
-0.04325	0.14125	0.13125
-0.043225	0.14125	0.03125
-0.0432	0.14125	0.04375
-0.043175	0.14125	0.08125
-0.04315	0.14125	0.1125
-0.043125	0.14125	0.1
-0.0431	0.14125	0.20625
-0.043075	0.14125	0.11875
-0.04305	0.14125	0.125
-0.043025	0.14125	0.05625
-0.043	0.134375	0.04375
-0.042975	0.134375	0
-0.04295	0.134375	0.11875
-0.042925	0.134375	0.1125
-0.0429	0.134375	0.075
-0.042875	0.134375	0.05625
-0.04285	0.134375	0.01875
-0.042825	0.134375	0.1
-0.0428	0.134375	0.125
-0.042775	0.134375	0.06875
-0.04275	0.106875	0.00625
-0.042725	0.106875	0.10625
-0.0427	0.106875	0.0875
-0.042675	0.106875	0.1125
-0.04265	0.106875	0.03125
-0.042625	0.106875	0.04375
-0.0426	0.106875	0.05625
-0.042575	0.106875	0.1375
-0.04255	0.106875	0.075
-0.042525	0.106875	0.09375
-0.0425	0.13125	0.05
-0.042475	0.13125	0.11875
-0.04245	0.13125	0.0375
-0.042425	0.13125	0.08125
-0.0424	0.13125	0.0625
-0.042375	0.13125	0.0125
-0.04235	0.13125	0.11875
-0.042325	0.13125	0.0375
-0.0423	0.13125	0.08125
-0.042275	0.13125	0.125
-0.04225	0.13875	0.09375
-0.042225	0.13875	0.0375
-0.0422	0.13875	0.0375
-0.042175	0.13875	0.125
-0.04215	0.13875	0.075
-0.042125	0.13875	0.0625
-0.0421	0.13875	0.05625
-0.042075	0.13875	0.10625
-0.04205	0.13875	0.04375
-0.042025	0.13875	0.05
-0.042	0.143125	0.14375
-0.041975	0.143125	0.11875
-0.04195	0.143125	0.09375
-0.041925	0.143125	0.09375
-0.0419	0.143125	0.2
-0.041875	0.143125	0.0875
-0.04185	0.143125	0.2
-0.041825	0.143125	0.025
-0.0418	0.143125	0.075
-0.041775	0.143125	0.03125
-0.04175	0.16625	-0.00625
-0.041725	0.16625	0.1
-0.0417	0.16625	0.11875
-0.041675	0.16625	0.11875
-0.04165	0.16625	0.075
-0.041625	0.16625	0.09375
-0.0416	0.16625	0.1375
-0.041575	0.16625	0.08125
-0.04155	0.16625	0.125
-0.041525	0.16625	0.0625
-0.0415	0.14375	0.15
-0.041475	0.14375	0.075
-0.04145	0.14375	0.0125
-0.041425	0.14375	0.175
-0.0414	0.14375	-0.00625
-0.041375	0.14375	0.1375
-0.04135	0.14375	0.10625
-0.041325	0.14375	0.0875
-0.0413	0.14375	0.075
-0.041275	0.14375	0.08125
-0.04125	0.13875	0.1625
-0.041225	0.13875	0.09375
-0.0412	0.13875	0.05
-0.041175	0.13875	0.06875
-0.04115	0.13875	0.15625
-0.041125	0.13875	0.16875
-0.0411	0.13875	0.0875
-0.041075	0.13875	-0.04375
-0.04105	0.13875	-0.0125
-0.041025	0.13875	0.125
-0.041	0.126875	0.16875
-0.040975	0.126875	0.0875
-0.04095	0.126875	0.1
-0.040925	0.126875	0.125
-0.0409	0.126875	0.125
-0.040875	0.126875	0.03125
-0.04085	0.126875	0.13125
-0.040825	0.126875	0.0125
-0.0408	0.126875	0.09375
-0.040775	0.126875	0.05625
-0.04075	0.11	0.0125
-0.040725	0.11	0.04375
-0.0407	0.11	0.00625
-0.040675	0.11	0
-0.04065	0.11	0.09375
-0.040625	0.11	0.05
-0.0406	0.11	0.08125
-0.040575	0.11	0.10625
-0.04055	0.11	0.04375
-0.040525	0.11	0.075
-0.0405	0.135625	0.0125
-0.040475	0.135625	0.0875
-0.04045	0.135625	0.0375
-0.040425	0.135625	0.04375
-0.0404	0.135625	0.09375
-0.040375	0.135625	0.05
-0.04035	0.135625	0.1125
-0.040325	0.135625	0.08125
-0.0403	0.135625	0.0875
-0.040275	0.135625	0.0625
-0.04025	0.1375	0.11875
-0.040225	0.1375	0.09375
-0.0402	0.1375	0.09375
-0.040175	0.1375	0.1
-0.04015	0.1375	0.08125
-0.040125	0.1375	0.025
-0.0401	0.1375	0.05625
-0.040075	0.1375	0.05
-0.04005	0.1375	0.075
-0.040025	0.1375	0.13125
-0.04	0.15125	0.0625
-0.039975	0.15125	0.05625
-0.03995	0.15125	0.13125
-0.039925	0.15125	0.15
-0.0399	0.15125	0.0375
-0.039875	0.15125	0.1
-0.03985	0.15125	0.1625
-0.039825	0.15125	0.09375
-0.0398	0.15125	0.00625
-0.039775	0.15125	0.04375
-0.03975	0.16125	0.03125
-0.039725	0.16125	-0.025
-0.0397	0.16125	0.125
-0.039675	0.16125	0.05625
-0.03965	0.16125	0.125
-0.039625	0.16125	0.05625
-0.0396	0.16125	0.05625
-0.039575	0.16125	0.06875
-0.03955	0.16125	0.0625
-0.039525	0.16125	0.00625
-0.0395	0.143125	0.03125
-0.039475	0.143125	0.03125
-0.03945	0.143125	0.09375
-0.039425	0.143125	0.1125
-0.0394	0.143125	0.0375
-0.039375	0.143125	0.13125
-0.03935	0.143125	0.075
-0.039325	0.143125	0.11875
-0.0393	0.143125	0.08125
-0.039275	0.143125	0.125
-0.03925	0.1375	0.05625
-0.039225	0.1375	0.05625
-0.0392	0.1375	0.05625
-0.039175	0.1375	0.125
-0.03915	0.1375	0.04375
-0.039125	0.1375	0.0875
-0.0391	0.1375	0.15625
-0.039075	0.1375	0.05625
-0.03905	0.1375	0.01875
-0.039025	0.1375	0.025
-0.039	0.121875	0.1
-0.038975	0.121875	0.10625
-0.03895	0.121875	0.13125
-0.038925	0.121875	0.00625
-0.0389	0.121875	0.15
-0.038875	0.121875	0.14375
-0.03885	0.121875	0.00625
-0.038825	0.121875	0.09375
-0.0388	0.121875	0.14375
-0.038775	0.121875	0.13125
-0.03875	0.11375	0.03125
-0.038725	0.11375	0.0125
-0.0387	0.11375	0.11875
-0.038675	0.11375	0.08125
-0.03865	0.11375	-0.04375
-0.038625	0.11375	0.05625
-0.0386	0.11375	0.0125
-0.038575	0.11375	0.05
-0.03855	0.11375	0.1875
-0.038525	0.11375	0.13125
-0.0385	0.13625	0.18125
-0.038475	0.13625	0.05625
-0.03845	0.13625	0.11875
-0.038425	0.13625	0.05625
-0.0384	0.13625	0.04375
-0.038375	0.13625	0.08125
-0.03835	0.13625	0.05
-0.038325	0.13625	0.06875
-0.0383	0.13625	0.05625
-0.038275	0.13625	0.05
-0.03825	0.14	0.1875
-0.038225	0.14	0.0625
-0.0382	0.14	0.09375
-0.038175	0.14	0.1375
-0.03815	0.14	0.0875
-0.038125	0.14	0.1625
-0.0381	0.14	0.09375
-0.038075	0.14	0.0625
-0.03805	0.14	0.125
-0.038025	0.14	0.1625
-0.038	0.163125	0.11875
-0.037975	0.163125	0.0875
-0.03795	0.163125	0.0375
-0.037925	0.163125	0.06875
-0.0379	0.163125	0.05625
-0.037875	0.163125	0.18125
-0.03785	0.163125	0.04375
-0.037825	0.163125	0.075
-0.0378	0.163125	0.05625
-0.037775	0.163125	0.0875
-0.03775	0.160625	0.10625
-0.037725	0.160625	0.1125
-0.0377	0.160625	0.025
-0.037675	0.160625	0.00625
-0.03765	0.160625	0.1125
-0.037625	0.160625	0.1125
-0.0376	0.160625	0.15
-0.037575	0.160625	0.0625
-0.03755	0.160625	0.03125
