Trail Number 		M-Reflex 	H-Reflex 	Voltage
1 		 1.105	0.35437	8.1344
2 		 0.6275	0.5975	9.1188
3 		 0.32125	0.34125	9.2531
4 		 0.41625	0.325	8.5563
5 		 0.53125	0.33875	10.2875
6 		 0.78438	0.52187	10.2438
7 		 0.93562	0.31437	8.7312
8 		 1.1525	0.575	10.1188
9 		 1.3394	0.34687	9.7156
10 		 1.5125	0.36	9.2094
11 		 1.7369	0.32062	11.0125
12 		 1.7775	1.2006	10.5656
13 		 1.8188	1.3294	9.8375
14 		 2.0094	1.2812	10.1469
15 		 2.1731	2.3019	10.8969
16 		 2.3919	3.2138	11.3469
17 		 2.3375	4.8406	11.6563
18 		 2.2881	4.4644	11.9531
19 		 2.4994	3.5987	12.075
20 		 2.5481	3.4919	12.2438
21 		 2.5825	5.4144	10.7375
22 		 2.6406	5.365	10.7719
23 		 3.2069	1.4175	12.7156
24 		 2.9244	6.2512	12.4781
25 		 2.8544	7.3288	12.8688
26 		 2.9631	7.3294	11.9125
27 		 2.9956	7.54	12.4812
28 		 3.0044	7.0888	13.4281
29 		 2.9731	7.4506	12.9406
30 		 3.0206	8.2294	12.5156
31 		 2.93	7.9469	14.1312
32 		 2.86	8.3238	13.7844
33 		 2.9344	8.4425	14.1344
34 		 2.8075	8.1375	13.1594
35 		 2.9525	7.6956	14.8281
36 		 2.8244	8.2544	14.8406
37 		 2.7394	8.5269	15.7688
38 		 2.8119	7.8525	16.0719
39 		 10.6831	1.0088	17.6125
40 		 3.7119	5.8706	17.5875
41 		 5.1713	5.6856	21.2344
42 		 6.0569	5.1056	20.1656
43 		 7.4894	3.9731	21.9469
44 		 8.7975	2.8425	24.8469
45 		 9.8837	1.9531	26.0375
46 		 10.6588	1.4688	26.1719
47 		 11.0281	1.2113	27.7656
48 		 11.9056	0.45688	28.9438
49 		 12.3394	0.205	31.3563
50 		 12.4381	0.19062	31.625
51 		 12.2413	0.1875	33.6344
52 		 12.6044	0.88312	35.2313
M-Reflex_Max 		12.6044 		 35.2313
H-Reflex_Max 			8.5269	 15.7688
