Interval=	2.5e-005 s
ExcelDateTime=	4.5121495847948390e+004	2023-07-14 11:54:01.262741
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1	Channel 2
Range=	20.000 mV	100.00 mV
-0.05	0.17125	0.05625
-0.049975	0.17125	0.05625
-0.04995	0.16	0.05625
-0.049925	0.16	0.05625
-0.0499	0.16	0.059375
-0.049875	0.16	0.059375
-0.04985	0.16	0.0625
-0.049825	0.16	0.0625
-0.0498	0.16	0.065625
-0.049775	0.16	0.065625
-0.04975	0.16	0.065625
-0.049725	0.16	0.065625
-0.0497	0.169375	0.06875
-0.049675	0.169375	0.06875
-0.04965	0.169375	0.071875
-0.049625	0.169375	0.071875
-0.0496	0.169375	0.071875
-0.049575	0.169375	0.071875
-0.04955	0.169375	0.075
-0.049525	0.169375	0.075
-0.0495	0.169375	0.075
-0.049475	0.169375	0.075
-0.04945	0.165	0.075
-0.049425	0.165	0.075
-0.0494	0.165	0.075
-0.049375	0.165	0.075
-0.04935	0.165	0.071875
-0.049325	0.165	0.071875
-0.0493	0.165	0.06875
-0.049275	0.165	0.06875
-0.04925	0.165	0.06875
-0.049225	0.165	0.065625
-0.0492	0.145625	0.0625
-0.049175	0.145625	0.0625
-0.04915	0.145625	0.0625
-0.049125	0.145625	0.059375
-0.0491	0.145625	0.059375
-0.049075	0.145625	0.05625
-0.04905	0.145625	0.05625
-0.049025	0.145625	0.05625
-0.049	0.145625	0.05625
-0.048975	0.145625	0.05625
-0.04895	0.165625	0.053125
-0.048925	0.165625	0.053125
-0.0489	0.165625	0.05625
-0.048875	0.165625	0.05625
-0.04885	0.165625	0.05625
-0.048825	0.165625	0.059375
-0.0488	0.165625	0.059375
-0.048775	0.165625	0.059375
-0.04875	0.165625	0.0625
-0.048725	0.165625	0.065625
-0.0487	0.16125	0.065625
-0.048675	0.16125	0.06875
-0.04865	0.16125	0.06875
-0.048625	0.16125	0.06875
-0.0486	0.16125	0.071875
-0.048575	0.16125	0.071875
-0.04855	0.16125	0.071875
-0.048525	0.16125	0.071875
-0.0485	0.16125	0.071875
-0.048475	0.16125	0.071875
-0.04845	0.135625	0.071875
-0.048425	0.135625	0.071875
-0.0484	0.135625	0.075
-0.048375	0.135625	0.071875
-0.04835	0.135625	0.075
-0.048325	0.135625	0.071875
-0.0483	0.135625	0.071875
-0.048275	0.135625	0.071875
-0.04825	0.135625	0.071875
-0.048225	0.135625	0.071875
-0.0482	0.135625	0.071875
-0.048175	0.135625	0.071875
-0.04815	0.135625	0.06875
-0.048125	0.135625	0.06875
-0.0481	0.135625	0.065625
-0.048075	0.135625	0.0625
-0.04805	0.135625	0.0625
-0.048025	0.135625	0.059375
-0.048	0.135625	0.05625
-0.047975	0.135625	0.053125
-0.04795	0.150625	0.05
-0.047925	0.150625	0.046875
-0.0479	0.150625	0.04375
-0.047875	0.150625	0.040625
-0.04785	0.150625	0.0375
-0.047825	0.150625	0.0375
-0.0478	0.150625	0.034375
-0.047775	0.150625	0.03125
-0.04775	0.150625	0.028125
-0.047725	0.150625	0.025
-0.0477	0.166875	0.021875
-0.047675	0.166875	0.01875
-0.04765	0.166875	0.01875
-0.047625	0.166875	0.01875
-0.0476	0.166875	0.015625
-0.047575	0.166875	0.015625
-0.04755	0.166875	0.015625
-0.047525	0.166875	0.01875
-0.0475	0.166875	0.01875
-0.047475	0.166875	0.01875
-0.04745	0.15125	0.021875
-0.047425	0.15125	0.021875
-0.0474	0.15125	0.025
-0.047375	0.15125	0.025
-0.04735	0.15125	0.028125
-0.047325	0.15125	0.028125
-0.0473	0.15125	0.03125
-0.047275	0.15125	0.034375
-0.04725	0.15125	0.0375
-0.047225	0.15125	0.0375
-0.0472	0.130625	0.040625
-0.047175	0.130625	0.04375
-0.04715	0.130625	0.04375
-0.047125	0.130625	0.046875
-0.0471	0.130625	0.05
-0.047075	0.130625	0.05
-0.04705	0.130625	0.053125
-0.047025	0.130625	0.053125
-0.047	0.130625	0.05625
-0.046975	0.130625	0.05625
-0.04695	0.140625	0.05625
-0.046925	0.140625	0.059375
-0.0469	0.140625	0.05625
-0.046875	0.140625	0.059375
-0.04685	0.140625	0.059375
-0.046825	0.140625	0.059375
-0.0468	0.140625	0.059375
-0.046775	0.140625	0.059375
-0.04675	0.140625	0.059375
-0.046725	0.140625	0.0625
-0.0467	0.15125	0.0625
-0.046675	0.15125	0.0625
-0.04665	0.15125	0.065625
-0.046625	0.15125	0.065625
-0.0466	0.15125	0.06875
-0.046575	0.15125	0.06875
-0.04655	0.15125	0.071875
-0.046525	0.15125	0.071875
-0.0465	0.15125	0.075
-0.046475	0.15125	0.075
-0.04645	0.134375	0.075
-0.046425	0.134375	0.075
-0.0464	0.134375	0.075
-0.046375	0.134375	0.075
-0.04635	0.134375	0.075
-0.046325	0.134375	0.075
-0.0463	0.134375	0.071875
-0.046275	0.134375	0.071875
-0.04625	0.134375	0.071875
-0.046225	0.134375	0.071875
-0.0462	0.14375	0.06875
-0.046175	0.14375	0.06875
-0.04615	0.14375	0.06875
-0.046125	0.14375	0.065625
-0.0461	0.14375	0.065625
-0.046075	0.14375	0.065625
-0.04605	0.14375	0.0625
-0.046025	0.14375	0.0625
-0.046	0.14375	0.059375
-0.045975	0.14375	0.059375
-0.04595	0.14	0.05625
