Trail Number 		Maximum(uV) 	Maximum Time(s) 	Minimum(uV) 	Minimum Time(s) 	Peak-Peak(uV) 	Duration(s)  	Onset(s) 	Offset(s)
1 		 0.90125	0.03125	-1.6944	0.029	2.5956	0.00225	0.02425	0.0515
2 		 1.8044	0.032	-2.4928	0.02925	4.2972	0.00275	0.02425	0.0515
3 		 1.4653	0.032	-2.5966	0.02875	4.0619	0.00325	0.02375	0.0515
4 		 0.80437	0.0355	-1.9031	0.03	2.7075	0.0055	0.025	0.0515
5 		 1.2862	0.0315	-1.5962	0.029	2.8825	0.0025	0.024	0.036
6 		 0.90687	0.03175	-1.3353	0.02775	2.2422	0.004	0.02425	0.0515
7 		 1.1159	0.032	-1.7331	0.0285	2.8491	0.0035	0.025	0.0515
8 		 0.89812	0.03375	-1.4728	0.028	2.3709	0.00575	0.024	0.0515
9 		 1.2206	0.0315	-1.4969	0.027	2.7175	0.0045	0.024	0.0515
10 		 0.66438	0.03425	-1.3147	0.02775	1.9791	0.0065	0.023	0.0515
21 		 0.78563	0.032	-1.1959	0.0285	1.9816	0.0035	0.02525	0.0515
22 		 0.81656	0.0315	-1.115	0.0285	1.9316	0.003	0.02525	0.0515
23 		 0.53687	0.032	-0.66594	0.02725	1.2028	0.00475	0.02425	0.0515
24 		 0.52844	0.03225	-0.64719	0.0285	1.1756	0.00375	0.0255	0.04975
25 		 0.28937	0.02975	-0.54688	0.028	0.83625	0.00175	0.0235	0.0515
26 		 0.96406	0.0305	-1.0294	0.028	1.9934	0.0025	0.0245	0.0515
27 		 0.65438	0.0315	-0.81094	0.02775	1.4653	0.00375	0.024	0.0495
28 		 0.50187	0.034	-0.57281	0.0275	1.0747	0.0065	0.025	0.0515
29 		 2.2703	0.03125	-4.5459	0.02825	6.8163	0.003	0.01525	0.0515
30 		 1.0522	0.0325	-1.7812	0.02875	2.8334	0.00375	0.0255	0.0515
33 		 0.42188	0.032	-0.36875	0.027	0.79063	0.005	0.0215	0.03625
34 		 0.44219	0.0305	-0.40687	0.02675	0.84906	0.00375	0.0225	0.05025
