Trail Number 		Maximum(uV) 	Maximum Time(s) 	Minimum(uV) 	Minimum Time(s) 	Peak-Peak(uV) 	CSP Duration(s)  	CSP Onset(s) 	CSP Offset(s) 	RMS Before Stimulation 	RMS after CSP
1 		 0.62875	0.035	-0.79031	0.03125	1.4191	0.145	0.0285	0.1735	0.11914	0.10848
2 		 0.49281	0.03775	-0.65656	0.03175	1.1494	0.22525	0.02925	0.2545	0.11776	0.10641
3 		 0.69219	0.0365	-0.63719	0.032	1.3294	0.1945	0.02825	0.22275	0.11705	0.11294
4 		 0.64687	0.0355	-1.6503	0.032	2.2972	0.1815	0.02975	0.21125	0.087848	0.10218
5 		 0.66406	0.03775	-1.1409	0.0315	1.805	0.25775	0.0295	0.28725	0.13346	0.10909
6 		 0.36094	0.4315	-0.76344	0.0315	1.1244	0.233	0.02875	0.26175	0.096262	0.10499
7 		 0.67469	0.04375	-1.1809	0.03325	1.8556	0.13725	0.0305	0.16775	0.10867	0.10392
8 		 0.45312	0.037	-0.82094	0.03175	1.2741	0.26525	0.0295	0.29475	0.09856	0.11078
9 		 0.55031	0.03975	-0.58344	0.03225	1.1338	0.2065	0.02825	0.23475	0.08916	0.10814
10 		 0.795	0.03425	-0.70656	0.0305	1.5016	0.2375	0.02925	0.26675	0.10227	0.11539
11 		 0.85437	0.035	-1.2937	0.0315	2.1481	0.149	0.02975	0.17875	0.089929	0.11032
12 		 0.59188	0.036	-0.99562	0.0305	1.5875	0.194	0.02925	0.22325	0.099749	0.11203
13 		 0.53	0.0395	-0.85	0.0315	1.38	0.1385	0.02975	0.16825	0.11055	0.10601
14 		 0.95875	0.036	-1.3725	0.0315	2.3312	0.16375	0.0295	0.19325	0.0939	0.10413
15 		 0.58531	0.04525	-1.2566	0.0325	1.8419	0.2025	0.02975	0.23225	0.11055	0.11137
16 		 0.58281	0.03625	-1.0153	0.03175	1.5981	0.25025	0.0285	0.27875	0.090275	0.11503
17 		 0.60281	0.035	-0.50469	0.03275	1.1075	0.20675	0.029	0.23575	0.10358	0.11998
18 		 0.52969	0.03725	-0.69563	0.03175	1.2253	0.23425	0.02925	0.2635	0.10054	0.10561
19 		 0.62562	0.03425	-0.77063	0.031	1.3962	0.25925	0.02775	0.287	0.080044	0.11189
20 		 0.56563	0.03375	-1.0159	0.03175	1.5816	0.28775	0.02925	0.317	0.10456	0.13272

						Avg. CSP Duration 	0.20847
