SN 		Beep Number 	Response Time
1 		 1	0.463
2 		 2	0.431
3 		 3	0.1505
4 		 4	0.405
5 		 5	0.6305
6 		 6	0.43525
7 		 7	0.35275
8 		 8	0.23175
9 		 9	0.497
10 		 10	0.1215
11 		 11	0.3955
12 		 12	0.01075
13 		 13	0.367
14 		 14	0.22275
15 		 15	0.343
16 		 16	0.272
17 		 17	0.399
18 		 18	0.3685
19 		 19	0.6905
20 		 20	0.4145
21 		 21	0.20175
22 		 22	0.0825
23 		 23	0.2965
24 		 24	0.54475
25 		 25	0.328
26 		 26	0.43425
27 		 27	0.27825
28 		 28	0.00025
SN 		ITA_BeepPositionBefResp 	Beep Number Time
1 		 23369	1
2 		 33369	2
3 		 39369	3
4 		 45369	4
5 		 53369	5
6 		 57369	6
7 		 61369	7
8 		 67369	8
9 		 73369	9
10 		 81369	10
11 		 85369	11
12 		 89369	12
13 		 93369	13
14 		 105369	14
15 		 123369	15
16 		 127369	16
17 		 131369	17
18 		 143369	18
19 		 151369	19
20 		 161369	20
21 		 167369	21
22 		 173369	22
23 		 181369	23
24 		 185373	24
25 		 189369	25
26 		 195369	26
27 		 201369	27
28 		 206258	28
