SN 		Beep Number 	Response Time
1 		 1	0.01775
2 		 2	0.31725
3 		 3	0.00025
4 		 4	0.341
5 		 5	0.0435
6 		 6	0.493
7 		 7	0.241
8 		 8	0.022
9 		 9	0.42775
10 		 10	0.146
11 		 11	0.00025
12 		 12	0.43025
13 		 13	0.0895
14 		 14	0.05025
15 		 15	0.51875
16 		 16	0.37825
17 		 17	0.15825
18 		 18	0.536
19 		 19	0.33225
20 		 20	0.0775
21 		 21	0.541
22 		 22	0.35175
23 		 23	0.00425
24 		 24	0.52275
25 		 25	0.21275
26 		 26	0.617
27 		 27	0.2815
28 		 28	0.02625
29 		 29	0.40125
30 		 30	0.0105
31 		 31	0.00025
32 		 32	0.047
33 		 33	0.47925
34 		 34	0.156
35 		 35	0.66325
36 		 36	0.2795
37 		 37	0.61375
38 		 38	0.34
39 		 39	0.01925
40 		 40	0.49125
41 		 41	0.13925
42 		 42	0.4415
43 		 43	0.1705
44 		 44	0.59525
45 		 45	0.2095
46 		 46	0.5025
47 		 47	0.15775
48 		 48	0.6755
49 		 49	0.28875
50 		 50	0.385
51 		 51	0.13475
52 		 52	0.52975
53 		 53	0.20425
54 		 54	0.63225
55 		 55	0.3395
56 		 56	0.25475
57 		 57	0.344
58 		 58	0.0575
59 		 59	0.59075
60 		 60	0.282
61 		 61	0.04525
62 		 62	0.4965
63 		 63	0.14375
64 		 64	0.03325
65 		 65	0.51725
66 		 66	0.19225
67 		 67	0.7145
68 		 68	0.4365
69 		 69	0.00025
70 		 70	0.00025
SN 		ITA_BeepPositionBefResp 	Beep Number Time
1 		 8713	1
2 		 17437	2
3 		 21801	3
4 		 26165	4
5 		 30529	5
6 		 34893	6
7 		 39257	7
8 		 43621	8
9 		 47985	9
10 		 52349	10
11 		 56713	11
12 		 61073	12
13 		 65437	13
14 		 69801	14
15 		 74165	15
16 		 78529	16
17 		 82893	17
18 		 91621	18
19 		 95985	19
20 		 100349	20
21 		 104713	21
22 		 109073	22
23 		 113437	23
24 		 117801	24
25 		 122169	25
26 		 126529	26
27 		 130893	27
28 		 135257	28
29 		 139621	29
30 		 143985	30
31 		 148349	31
32 		 152713	32
33 		 157073	33
34 		 161437	34
35 		 165801	35
36 		 170165	36
37 		 174529	37
38 		 178893	38
39 		 183257	39
40 		 187621	40
41 		 191985	41
42 		 196349	42
43 		 200713	43
44 		 205073	44
45 		 209437	45
46 		 213801	46
47 		 218165	47
48 		 222529	48
49 		 226893	49
50 		 235621	50
51 		 239985	51
52 		 244349	52
53 		 248713	53
54 		 253073	54
55 		 257437	55
56 		 261801	56
57 		 266165	57
58 		 270529	58
59 		 274893	59
60 		 279257	60
61 		 283621	61
62 		 287985	62
63 		 292349	63
64 		 296713	64
65 		 301073	65
66 		 305437	66
67 		 309801	67
68 		 314165	68
69 		 319422	69
70 		 322541	70
