SN 		Beep Number 	Response Time
1 		 1	0.1475
2 		 2	0.02925
3 		 3	0.161
4 		 4	0.37325
5 		 5	0.15825
6 		 6	0.09425
7 		 7	0.04775
8 		 8	0.57075
9 		 9	0.35575
10 		 10	0.079
11 		 11	0.21825
12 		 12	0.52
13 		 13	0.05925
14 		 14	0.4035
15 		 15	0.3585
16 		 16	0.68075
17 		 17	0.05925
18 		 18	0.69375
19 		 19	0.114
20 		 20	0.1045
21 		 21	0.0585
22 		 22	0.48425
23 		 23	0.453
24 		 24	0.37475
25 		 25	0.289
26 		 26	0.04225
27 		 27	0.27725
28 		 28	0.28475
29 		 29	0.54
30 		 30	0.1425
31 		 31	0.0065
32 		 32	0.63875
33 		 33	0.32425
34 		 34	0.131
35 		 35	0.41075
36 		 36	0.72225
37 		 37	0.3165
38 		 38	0.28925
39 		 39	0.588
40 		 40	0.11475
41 		 41	0.036
42 		 42	0.44525
43 		 43	0.01875
44 		 44	0.55075
45 		 45	0.12825
46 		 46	0.3335
47 		 47	0.2245
48 		 48	0.01975
49 		 49	0.124
50 		 50	0.26775
51 		 51	0.1345
52 		 52	0.06
53 		 53	0.0525
54 		 54	0.56525
55 		 55	0.04925
56 		 56	0.102
57 		 57	0.32675
58 		 58	0.17325
59 		 59	0.624
60 		 60	0.0615
61 		 61	0.083
62 		 62	0.5555
63 		 63	0.25325
64 		 64	0.17125
65 		 65	0.66025
66 		 66	0.18225
67 		 67	0.675
68 		 68	0.501
69 		 69	0.082
70 		 70	0.156
71 		 71	0.60225
72 		 72	0.1835
73 		 73	0.01575
74 		 74	0.0055
SN 		ITA_BeepPositionBefResp 	Beep Number Time
1 		 29809	1
2 		 33809	2
3 		 39809	3
4 		 59809	4
5 		 63809	5
6 		 67809	6
7 		 71809	7
8 		 77809	8
9 		 83809	9
10 		 91809	10
11 		 99809	11
12 		 103809	12
13 		 115809	13
14 		 119809	14
15 		 125809	15
16 		 133817	16
17 		 137809	17
18 		 147809	18
19 		 153809	19
20 		 157809	20
21 		 161809	21
22 		 167809	22
23 		 171809	23
24 		 177809	24
25 		 187809	25
26 		 191809	26
27 		 195809	27
28 		 199809	28
29 		 205809	29
30 		 211809	30
31 		 219809	31
32 		 223809	32
33 		 227809	33
34 		 243809	34
35 		 253817	35
36 		 261809	36
37 		 265809	37
38 		 269809	38
39 		 275809	39
40 		 281809	40
41 		 285809	41
42 		 289809	42
43 		 295809	43
44 		 299809	44
45 		 305809	45
46 		 311809	46
47 		 315809	47
48 		 319809	48
49 		 327809	49
50 		 339809	50
51 		 347809	51
52 		 351809	52
53 		 355809	53
54 		 359809	54
55 		 371809	55
56 		 375809	56
57 		 381809	57
58 		 385809	58
59 		 389809	59
60 		 393809	60
61 		 397809	61
62 		 409809	62
63 		 413809	63
64 		 417809	64
65 		 427809	65
66 		 433809	66
67 		 439809	67
68 		 443809	68
69 		 451809	69
70 		 455809	70
71 		 461809	71
72 		 467809	72
73 		 479809	73
74 		 483809	74
