SN 		Beep Number 	Response Time
1 		 1	0.00025
2 		 2	0.026
3 		 3	0.1655
4 		 4	0.10825
5 		 5	0.032
6 		 6	0.19175
7 		 7	0.107
8 		 8	0.07825
9 		 9	0.208
10 		 10	0.01025
11 		 11	0.03125
12 		 12	0.19625
13 		 13	0.12725
14 		 14	0.077
15 		 15	0.0145
16 		 16	0.20575
17 		 17	0.20725
18 		 18	0.11825
19 		 19	0.024
20 		 20	0.15725
21 		 21	0.10325
22 		 22	0.06175
23 		 23	0.061
24 		 24	0.28225
25 		 25	0.037
26 		 26	0.0765
27 		 27	0.168
28 		 28	0.12875
29 		 29	0.0105
30 		 30	0.207
31 		 31	0.21975
32 		 32	0.0905
33 		 33	0.19675
34 		 34	0.268
35 		 35	0.13875
36 		 36	0.05375
37 		 37	0.108
38 		 38	0.25
39 		 39	0.1305
40 		 40	0.0415
41 		 41	0.166
42 		 42	0.09925
43 		 43	0.197
44 		 44	0.1185
45 		 45	0.0175
46 		 46	0.229
47 		 47	0.03625
48 		 48	0.13
49 		 49	0.073
50 		 50	0.1715
51 		 51	0.07425
52 		 52	0.28925
53 		 53	0.2305
54 		 54	0.21325
55 		 55	0.1295
56 		 56	0.02025
57 		 57	0.11075
58 		 58	0.043
59 		 59	0.0705
60 		 60	0.22075
61 		 61	0.18
62 		 62	0.194
63 		 63	0.01475
64 		 64	0.13675
65 		 65	0.03775
66 		 66	0.19475
67 		 67	0.19925
68 		 68	0.104
69 		 69	0.049
70 		 70	0.122
71 		 71	0.0315
72 		 72	0.26675
73 		 73	0.1455
74 		 74	0.00025
75 		 75	0.00025
SN 		ITA_BeepPositionBefResp 	Beep Number Time
1 		 11117	1
2 		 15481	2
3 		 19845	3
4 		 24209	4
5 		 28573	5
6 		 32937	6
7 		 37301	7
8 		 41661	8
9 		 46025	9
10 		 50389	10
11 		 54753	11
12 		 59117	12
13 		 63481	13
14 		 67845	14
15 		 72209	15
16 		 76573	16
17 		 80937	17
18 		 85301	18
19 		 89661	19
20 		 94025	20
21 		 98389	21
22 		 102753	22
23 		 107117	23
24 		 111481	24
25 		 115845	25
26 		 120209	26
27 		 124573	27
28 		 128937	28
29 		 133301	29
30 		 137661	30
31 		 142025	31
32 		 146389	32
33 		 150753	33
34 		 155117	34
35 		 159481	35
36 		 163845	36
37 		 168209	37
38 		 172573	38
39 		 176937	39
40 		 181301	40
41 		 185661	41
42 		 190025	42
43 		 194389	43
44 		 198753	44
45 		 203117	45
46 		 207481	46
47 		 211845	47
48 		 216209	48
49 		 220573	49
50 		 224937	50
51 		 229301	51
52 		 233661	52
53 		 238025	53
54 		 242389	54
55 		 246753	55
56 		 251117	56
57 		 255481	57
58 		 259845	58
59 		 264209	59
60 		 268573	60
61 		 272937	61
62 		 277301	62
63 		 281661	63
64 		 286025	64
65 		 290389	65
66 		 294753	66
67 		 299117	67
68 		 303481	68
69 		 307845	69
70 		 312209	70
71 		 316573	71
72 		 320937	72
73 		 325301	73
74 		 330086	74
75 		 333110	75
