SN 		Beep Number 	Response Time
1 		 1	0.21125
2 		 2	0.34825
3 		 3	0.35725
4 		 4	0.2695
5 		 5	0.2885
6 		 6	0.27075
7 		 7	0.34475
8 		 8	0.24925
9 		 9	0.29475
10 		 10	0.3455
11 		 11	0.3885
12 		 12	0.26175
13 		 13	0.26975
14 		 14	0.35525
15 		 15	0.379
16 		 16	0.36225
17 		 17	0.32125
18 		 18	0.24075
19 		 19	0.30825
20 		 20	0.3095
21 		 21	0.2875
22 		 22	0.179
23 		 23	0.29375
SN 		ITA_BeepPositionBefResp 	Beep Number Time
1 		 12877	1
2 		 17241	2
3 		 21605	3
4 		 25969	4
5 		 30333	5
6 		 34697	6
7 		 39057	7
8 		 43421	8
9 		 47785	9
10 		 52149	10
11 		 56513	11
12 		 60877	12
13 		 65241	13
14 		 69605	14
15 		 73969	15
16 		 78333	16
17 		 82697	17
18 		 87057	18
19 		 91421	19
20 		 95785	20
21 		 100149	21
22 		 104513	22
23 		 108877	23
