SN 		Beep Number 	Response Time
1 		 1	0.078
2 		 2	0.00025
3 		 3	0.0575
4 		 4	0.075
5 		 5	0.0255
6 		 6	0.071
7 		 7	0.1045
8 		 8	0.0015
9 		 9	0.05
10 		 10	0.027
11 		 11	0.048
12 		 12	0.018
13 		 13	0.0005
14 		 14	0.0235
15 		 15	0.052
16 		 16	0.14
17 		 17	0.0185
18 		 18	0.074
19 		 19	0.043
20 		 20	0.008
21 		 21	0.0265
22 		 22	0.0085
23 		 23	0.0365
SN 		ITA_BeepPositionBefResp 	Beep Number Time
1 		 585	1
2 		 4035	2
3 		 7671	3
4 		 10997	4
5 		 14615	5
6 		 18161	6
7 		 21867	7
8 		 25271	8
9 		 28589	9
10 		 31953	10
11 		 35329	11
12 		 38613	12
13 		 41955	13
14 		 45415	14
15 		 48829	15
16 		 52081	16
17 		 55503	17
18 		 58849	18
19 		 62237	19
20 		 65625	20
21 		 68935	21
22 		 73247	22
23 		 77251	23
