SN 		Beep Number 	Response Time
1 		 1	0.237
2 		 2	0.065
3 		 3	0.00025
4 		 4	0.604
5 		 5	0.326
6 		 6	0.19
7 		 7	0.047
8 		 8	0.028
9 		 9	0.561
10 		 10	0.315
11 		 11	0.126
12 		 12	0.00025
13 		 13	0.451
14 		 14	0.363
15 		 15	0.205
16 		 16	0.098
17 		 17	0.058
18 		 18	0.04
19 		 19	0.159
20 		 20	0.123
21 		 21	0.00025
22 		 22	0.00025
23 		 23	0.00025
24 		 24	0.749
25 		 25	0.00025
26 		 26	0.00025
27 		 27	0.669
28 		 28	0.613
29 		 29	0.336
30 		 30	0.476
31 		 31	0.544
32 		 32	0.573
33 		 33	0.569
34 		 34	0.45
35 		 35	0.503
36 		 36	0.433
37 		 37	0.241
38 		 38	0.328
39 		 39	0.424
40 		 40	0.045
41 		 41	0.742
42 		 42	0.635
43 		 43	0.461
44 		 44	0.422
45 		 45	0.178
46 		 46	0.087
47 		 47	0.583
48 		 48	0.473
49 		 49	0.51
50 		 50	0.368
51 		 51	0.276
52 		 52	0.102
53 		 53	0.00025
54 		 54	0.589
55 		 55	0.363
56 		 56	0.393
57 		 57	0.352
58 		 58	0.257
59 		 59	0.029
SN 		ITA_BeepPositionBefResp 	Beep Number Time
1 		 11709	1
2 		 16073	2
3 		 20437	3
4 		 24801	4
5 		 29165	5
6 		 33529	6
7 		 37893	7
8 		 42257	8
9 		 46617	9
10 		 50981	10
11 		 55345	11
12 		 59709	12
13 		 64073	13
14 		 68437	14
15 		 72801	15
16 		 77165	16
17 		 81529	17
18 		 85893	18
19 		 90257	19
20 		 94617	20
21 		 98981	21
22 		 103345	22
23 		 116437	23
24 		 120801	24
25 		 133893	25
26 		 142617	26
27 		 155709	27
28 		 160073	28
29 		 164437	29
30 		 168801	30
31 		 173165	31
32 		 177529	32
33 		 181893	33
34 		 186257	34
35 		 190617	35
36 		 194981	36
37 		 199345	37
38 		 203709	38
39 		 208073	39
40 		 212437	40
41 		 216801	41
42 		 221165	42
43 		 225529	43
44 		 229893	44
45 		 234257	45
46 		 238617	46
47 		 247345	47
48 		 251709	48
49 		 256073	49
50 		 260437	50
51 		 264801	51
52 		 269165	52
53 		 273529	53
54 		 282257	54
55 		 286617	55
56 		 290981	56
57 		 295345	57
58 		 299709	58
59 		 304073	59
