SN 		Beep Number 	Response Time
1 		 1	0.3705
2 		 2	0.3865
3 		 3	0.41025
4 		 4	0.17575
5 		 5	0.417
6 		 6	0.4195
7 		 7	0.44925
8 		 8	0.53
9 		 9	0.45175
10 		 10	0.4945
11 		 11	0.465
12 		 12	0.39
13 		 13	0.516
14 		 14	0.39725
15 		 15	0.2785
16 		 16	0.172
17 		 17	0.46675
18 		 18	0.50175
19 		 19	0.4715
20 		 20	0.47475
21 		 21	0.3725
22 		 22	0.40475
23 		 23	0.433
24 		 24	0.478
25 		 25	0.4645
26 		 26	0.3925
27 		 27	0.439
28 		 28	0.47225
29 		 29	0.445
30 		 30	0.46625
31 		 31	0.5595
32 		 32	0.51075
33 		 33	0.47475
34 		 34	0.3895
35 		 35	0.342
36 		 36	0.3095
37 		 37	0.487
38 		 38	0.53725
39 		 39	0.635
40 		 40	0.57075
41 		 41	0.463
42 		 42	0.43575
43 		 43	0.48175
44 		 44	0.50325
45 		 45	0.39125
46 		 46	0.30325
47 		 47	0.23175
48 		 48	0.53825
49 		 49	0.471
50 		 50	0.437
51 		 51	0.434
52 		 52	0.50075
53 		 53	0.461
54 		 54	0.5295
55 		 55	0.4925
56 		 56	0.47475
57 		 57	0.49625
58 		 58	0.44375
59 		 59	0.4185
60 		 60	0.40225
61 		 61	0.55275
62 		 62	0.5045
63 		 63	0.64075
64 		 64	0.56775
65 		 65	0.508
66 		 66	0.5225
67 		 67	0.586
68 		 68	0.4745
69 		 69	0.47325
70 		 70	0.57
71 		 71	0.51275
72 		 72	0.51975
73 		 73	0.536
74 		 74	0.57425
75 		 75	0.6495
76 		 76	0.54775
77 		 77	0.556
78 		 78	0.53525
79 		 79	0.506
80 		 80	0.511
81 		 81	0.5125
82 		 82	0.44
83 		 83	0.514
84 		 84	0.59875
85 		 85	0.52775
86 		 86	0.60375
87 		 87	0.6225
88 		 88	0.551
89 		 89	0.567
90 		 90	0.565
91 		 91	0.3785
92 		 92	0.183
SN 		ITA_BeepPositionBefResp 	Beep Number Time
1 		 1610	1
2 		 5973	2
3 		 10337	3
4 		 14701	4
5 		 19064	5
6 		 23428	6
7 		 27792	7
8 		 32155	8
9 		 36519	9
10 		 40882	10
11 		 45246	11
12 		 49610	12
13 		 53973	13
14 		 58337	14
15 		 62701	15
16 		 67064	16
17 		 71428	17
18 		 75792	18
19 		 80155	19
20 		 84519	20
21 		 88882	21
22 		 93246	22
23 		 97610	23
24 		 101973	24
25 		 106337	25
26 		 110701	26
27 		 115064	27
28 		 119428	28
29 		 123792	29
30 		 128155	30
31 		 132519	31
32 		 136882	32
33 		 141246	33
34 		 145610	34
35 		 149973	35
36 		 154337	36
37 		 158701	37
38 		 163064	38
39 		 167428	39
40 		 171792	40
41 		 176155	41
42 		 180519	42
43 		 184882	43
44 		 189246	44
45 		 193610	45
46 		 197973	46
47 		 202337	47
48 		 206701	48
49 		 211066	49
50 		 215428	50
51 		 219792	51
52 		 224155	52
53 		 228519	53
54 		 232882	54
55 		 237246	55
56 		 241610	56
57 		 245973	57
58 		 250337	58
59 		 254701	59
60 		 259064	60
61 		 263428	61
62 		 267792	62
63 		 272155	63
64 		 276519	64
65 		 280882	65
66 		 285246	66
67 		 289610	67
68 		 293973	68
69 		 298337	69
70 		 302701	70
71 		 307064	71
72 		 311428	72
73 		 315792	73
74 		 320155	74
75 		 324519	75
76 		 333246	76
77 		 337610	77
78 		 341973	78
79 		 346337	79
80 		 350701	80
81 		 355064	81
82 		 359428	82
83 		 363792	83
84 		 368155	84
85 		 372519	85
86 		 376882	86
87 		 381246	87
88 		 385610	88
89 		 389973	89
90 		 394337	90
91 		 398701	91
92 		 403064	92
