SN 		Beep Number 	Response Time
1 		 1	0.042
2 		 2	0.349
3 		 3	0.645
4 		 4	0.236
5 		 5	0.527
6 		 6	0.127
7 		 7	0.278
8 		 8	0.117
9 		 9	0.235
10 		 10	0.082
11 		 11	0.174
12 		 12	0.537
13 		 13	0.677
14 		 14	0.231
15 		 15	0.325
16 		 16	0.56
17 		 17	0.375
18 		 18	0.026
19 		 19	0.484
20 		 20	0.038
21 		 21	0.158
22 		 22	0.701
23 		 23	0.262
24 		 24	0.374
25 		 25	0.204
26 		 26	0.398
27 		 27	0.484
28 		 28	0.41
29 		 29	0.743
30 		 30	0.556
31 		 31	0.061
32 		 32	0.152
33 		 33	0.243
34 		 34	0.587
35 		 35	0.707
36 		 36	0.481
37 		 37	0.068
38 		 38	0.167
39 		 39	0.59
40 		 40	0.009
41 		 41	0.198
42 		 42	0.638
43 		 43	0.563
44 		 44	0.678
45 		 45	0.169
46 		 46	0.343
47 		 47	0.703
48 		 48	0.083
49 		 49	0.005
50 		 50	0.333
51 		 51	0.293
52 		 52	0.701
SN 		ITA_BeepPositionBefResp 	Beep Number Time
1 		 7533	1
2 		 33717	2
3 		 42445	3
4 		 51169	4
5 		 59897	5
6 		 68625	6
7 		 77353	7
8 		 81717	8
9 		 86081	9
10 		 90445	10
11 		 112261	11
12 		 129717	12
13 		 142805	13
14 		 147169	14
15 		 151533	15
16 		 155897	16
17 		 160261	17
18 		 168989	18
19 		 177717	19
20 		 182081	20
21 		 186445	21
22 		 190805	22
23 		 195169	23
24 		 199533	24
25 		 203897	25
26 		 212625	26
27 		 216989	27
28 		 225717	28
29 		 230081	29
30 		 234445	30
31 		 238809	31
32 		 247533	32
33 		 251897	33
34 		 256261	34
35 		 260625	35
36 		 264989	36
37 		 269353	37
38 		 282445	38
39 		 304261	39
40 		 308625	40
41 		 312989	41
42 		 321717	42
43 		 330445	43
44 		 334805	44
45 		 352261	45
46 		 360989	46
47 		 365353	47
48 		 378445	48
49 		 387169	49
50 		 395897	50
51 		 417717	51
52 		 422081	52
