SN 		Beep Number 	Response Time
1 		 1	0.10725
2 		 2	0.11725
3 		 3	0.08775
4 		 4	0.03275
5 		 5	0.09025
6 		 6	0.23025
7 		 7	0.04875
8 		 8	0.08375
9 		 9	0.01075
10 		 10	0.66975
11 		 11	0.61875
12 		 12	0.02325
13 		 13	0.62975
14 		 14	0.44175
15 		 15	0.27125
16 		 16	0.07775
17 		 17	0.20425
18 		 18	0.34525
19 		 19	0.00475
20 		 20	0.56325
21 		 21	0.21375
22 		 22	0.55825
23 		 23	0.46625
24 		 24	0.62125
25 		 25	0.49125
26 		 26	0.39375
27 		 27	0.19925
28 		 28	0.11075
29 		 29	0.18275
30 		 30	0.36425
31 		 31	0.12975
32 		 32	0.00725
33 		 33	0.08875
34 		 34	0.70075
35 		 35	0.02475
36 		 36	0.06575
37 		 37	0.6075
38 		 38	0.40525
39 		 39	0.18725
40 		 40	0.00025
41 		 41	0.05525
42 		 42	0.67175
43 		 43	0.37275
44 		 44	0.02675
45 		 45	0.66725
46 		 46	0.04725
47 		 47	0.473
48 		 48	0.55725
49 		 49	0.39025
50 		 50	0.21225
51 		 51	0.00125
52 		 52	0.58825
53 		 53	0.69525
54 		 54	0.58575
55 		 55	0.38975
56 		 56	0.45125
57 		 57	0.19325
58 		 58	0.20825
59 		 59	0.30075
60 		 60	0.02825
61 		 61	0.53075
62 		 62	0.30825
63 		 63	0.08625
64 		 64	0.32175
65 		 65	0.70625
66 		 66	0.47375
67 		 67	0.65125
68 		 68	0.47825
69 		 69	0.63875
70 		 70	0.25775
71 		 71	0.19525
72 		 72	0.03675
73 		 73	0.18475
74 		 74	0.14325
75 		 75	0.03625
76 		 76	0.13775
77 		 77	0.07125
78 		 78	0.09375
79 		 79	0.23075
80 		 80	0.04175
81 		 81	0.55425
82 		 82	0.61625
83 		 83	0.00575
84 		 84	0.30875
85 		 85	0.06575
86 		 86	0.63375
87 		 87	0.373
88 		 88	0.24375
89 		 89	0.47525
90 		 90	0.20525
91 		 91	0.42025
92 		 92	0.1485
93 		 93	0.00025
94 		 94	0.241
95 		 95	0.1025
96 		 96	0.0435
SN 		ITA_BeepPositionBefResp 	Beep Number Time
1 		 67344	1
2 		 77344	2
3 		 89344	3
4 		 93344	4
5 		 99344	5
6 		 105344	6
7 		 109344	7
8 		 113344	8
9 		 119344	9
10 		 123344	10
11 		 129344	11
12 		 135344	12
13 		 139344	13
14 		 143344	14
15 		 147348	15
16 		 151344	16
17 		 157344	17
18 		 163344	18
19 		 171344	19
20 		 175344	20
21 		 183344	21
22 		 195344	22
23 		 199344	23
24 		 205344	24
25 		 209344	25
26 		 213344	26
27 		 217344	27
28 		 221344	28
29 		 227344	29
30 		 233344	30
31 		 237344	31
32 		 241344	32
33 		 247344	33
34 		 251344	34
35 		 257344	35
36 		 263344	36
37 		 267349	37
38 		 271344	38
39 		 275344	39
40 		 279344	40
41 		 285344	41
42 		 291344	42
43 		 299344	43
44 		 307344	44
45 		 311344	45
46 		 323344	46
47 		 327349	47
48 		 333344	48
49 		 337344	49
50 		 341344	50
51 		 345344	51
52 		 349344	52
53 		 355344	53
54 		 365344	54
55 		 369344	55
56 		 375344	56
57 		 379344	57
58 		 385344	58
59 		 391344	59
60 		 395344	60
61 		 399344	61
62 		 403344	62
63 		 407344	63
64 		 419344	64
65 		 427344	65
66 		 431344	66
67 		 439344	67
68 		 455344	68
69 		 461344	69
70 		 465344	70
71 		 469344	71
72 		 473344	72
73 		 483344	73
74 		 493344	74
75 		 497344	75
76 		 503344	76
77 		 507350	77
78 		 513344	78
79 		 519344	79
80 		 523344	80
81 		 527344	81
82 		 541344	82
83 		 547344	83
84 		 555344	84
85 		 559344	85
86 		 563344	86
87 		 567351	87
88 		 583344	88
89 		 589344	89
90 		 593344	90
91 		 611344	91
92 		 739343	92
93 		 745343	93
94 		 749343	94
95 		 753343	95
96 		 759343	96
