Time	Amplitude	Unknown
-0.05	0.049375	11.66461
-0.04975	0.05	11.66461
-0.0495	0.0515625	11.66461
-0.04925	0.04875	11.66461
-0.049	0.045625	11.66461
-0.04875	0.0465625	11.66461
-0.0485	0.0496875	11.66461
-0.04825	0.050625	11.66461
-0.048	0.04875	11.66461
-0.04775	0.0484375	11.66461
-0.0475	0.0484375	11.66461
-0.04725	0.049375	11.66461
-0.047	0.05125	11.66461
-0.04675	0.0490625	11.66461
-0.0465	0.050625	11.66461
-0.04625	0.0534375	11.66461
-0.046	0.0521875	11.66461
-0.04575	0.0525	11.66461
-0.0455	0.0515625	11.66461
-0.04525	0.0503125	11.66461
-0.045	0.05	11.66461
-0.04475	0.0503125	11.66461
-0.0445	0.0515625	11.66461
-0.04425	0.053125	11.66461
-0.044	0.051875	11.66461
-0.04375	0.0525	11.66461
-0.0435	0.05125	11.66461
-0.04325	0.049375	11.66461
-0.043	0.0525	11.66461
-0.04275	0.0540625	11.66461
-0.0425	0.05625	11.66461
-0.04225	0.054375	11.66461
-0.042	0.0534375	11.66461
-0.04175	0.0571875	11.66461
-0.0415	0.05875	11.66461
-0.04125	0.0590625	11.66461
-0.041	0.0603125	11.66461
-0.04075	0.058125	11.66461
-0.0405	0.0575	11.66461
-0.04025	0.0553125	11.66461
-0.04	0.055	11.66461
-0.03975	0.0546875	11.66461
-0.0395	0.0546875	11.66461
-0.03925	0.0559375	11.66461
-0.039	0.0565625	11.66461
-0.03875	0.0540625	11.66461
-0.0385	0.05625	11.66461
-0.03825	0.058125	11.66461
-0.038	0.05625	11.66461
-0.03775	0.0565625	11.66461
-0.0375	0.0559375	11.66461
-0.03725	0.0571875	11.66461
-0.037	0.0546875	11.66461
-0.03675	0.0540625	11.66461
-0.0365	0.056875	11.66461
-0.03625	0.05375	11.66461
-0.036	0.0553125	11.66461
-0.03575	0.0565625	11.66461
-0.0355	0.0534375	11.66461
-0.03525	0.0528125	11.66461
-0.035	0.050625	11.66461
-0.03475	0.05125	11.66461
-0.0345	0.049375	11.66461
-0.03425	0.0465625	11.66461
-0.034	0.0478125	11.66461
-0.03375	0.0490625	11.66461
-0.0335	0.048125	11.66461
-0.03325	0.0484375	11.66461
-0.033	0.0478125	11.66461
-0.03275	0.0475	11.66461
-0.0325	0.0475	11.66461
-0.03225	0.0496875	11.66461
-0.032	0.05375	11.66461
-0.03175	0.054375	11.66461
-0.0315	0.055625	11.66461
