Time	Amplitude	Unknown
-0.05	0.060625	13.33858
-0.04975	0.060625	13.33858
-0.0495	0.064375	13.33858
-0.04925	0.0634375	13.33858
-0.049	0.0603125	13.33858
-0.04875	0.0621875	13.33858
-0.0485	0.060625	13.33858
-0.04825	0.058125	13.33858
-0.048	0.0578125	13.33858
-0.04775	0.0559375	13.33858
-0.0475	0.0571875	13.33858
-0.04725	0.0571875	13.33858
-0.047	0.055	13.33858
-0.04675	0.05875	13.33858
-0.0465	0.0584375	13.33858
-0.04625	0.0603125	13.33858
-0.046	0.0596875	13.33858
-0.04575	0.06	13.33858
-0.0455	0.06	13.33858
-0.04525	0.0584375	13.33858
-0.045	0.0596875	13.33858
-0.04475	0.0596875	13.33858
-0.0445	0.059375	13.33858
-0.04425	0.0621875	13.33858
-0.044	0.0615625	13.33858
-0.04375	0.0603125	13.33858
-0.0435	0.0621875	13.33858
-0.04325	0.0590625	13.33858
-0.043	0.058125	13.33858
-0.04275	0.0578125	13.33858
-0.0425	0.0546875	13.33858
-0.04225	0.055	13.33858
-0.042	0.0521875	13.33858
-0.04175	0.0521875	13.33858
-0.0415	0.0553125	13.33858
-0.04125	0.0525	13.33858
-0.041	0.05625	13.33858
-0.04075	0.0575	13.33858
-0.0405	0.058125	13.33858
-0.04025	0.061875	13.33858
-0.04	0.065	13.33858
-0.03975	0.0640625	13.33858
-0.0395	0.06375	13.33858
-0.03925	0.05875	13.33858
-0.039	0.060625	13.33858
-0.03875	0.055	13.33858
-0.0385	0.053125	13.33858
-0.03825	0.0546875	13.33858
-0.038	0.05375	13.33858
-0.03775	0.054375	13.33858
-0.0375	0.05875	13.33858
-0.03725	0.0603125	13.33858
-0.037	0.0628125	13.33858
-0.03675	0.0628125	13.33858
-0.0365	0.064375	13.33858
-0.03625	0.0603125	13.33858
-0.036	0.0484375	13.33858
-0.03575	0.04375	13.33858
-0.0355	0.035625	13.33858
-0.03525	0.0321875	13.33858
-0.035	0.035625	13.33858
-0.03475	0.038125	13.33858
-0.0345	0.04125	13.33858
-0.03425	0.0490625	13.33858
-0.034	0.0509375	13.33858
-0.03375	0.055625	13.33858
-0.0335	0.056875	13.33858
-0.03325	0.0634375	13.33858
-0.033	0.06375	13.33858
-0.03275	0.0596875	13.33858
-0.0325	0.0615625	13.33858
-0.03225	0.0615625	13.33858
-0.032	0.0603125	13.33858
-0.03175	0.060625	13.33858
-0.0315	0.0584375	13.33858
-0.03125	0.0609375	13.33858
-0.031	0.0596875	13.33858
-0.03075	0.0596875	13.33858
-0.0305	0.0621875	13.33858
-0.03025	0.0590625	13.33858
-0.03	0.060625	13.33858
-0.02975	0.059375	13.33858
-0.0295	0.0578125	13.33858
-0.02925	0.0565625	13.33858
-0.029	0.0584375	13.33858
-0.02875	0.0590625	13.33858
-0.0285	0.056875	13.33858
-0.02825	0.059375	13.33858
-0.028	0.0609375	13.33858
-0.02775	0.0621875	13.33858
-0.0275	0.0578125	13.33858
-0.02725	0.0596875	13.33858
-0.027	0.055625	13.33858
-0.02675	0.0575	13.33858
-0.0265	0.056875	13.33858
-0.02625	0.0553125	13.33858
-0.026	0.0540625	13.33858
-0.02575	0.048125	13.33858
-0.0255	0.0471875	13.33858
-0.02525	0.0478125	13.33858
-0.025	0.0490625	13.33858
-0.02475	0.0528125	13.33858
-0.0245	0.0503125	13.33858
-0.02425	0.0440625	13.33858
-0.024	0.040625	13.33858
-0.02375	0.039375	13.33858
-0.0235	0.0453125	13.33858
-0.02325	0.0509375	13.33858
-0.023	0.05625	13.33858
-0.02275	0.0625	13.33858
-0.0225	0.0625	13.33858
-0.02225	0.0603125	13.33858
-0.022	0.0609375	13.33858
-0.02175	0.058125	13.33858
-0.0215	0.0565625	13.33858
-0.02125	0.056875	13.33858
-0.021	0.054375	13.33858
-0.02075	0.054375	13.33858
-0.0205	0.053125	13.33858
-0.02025	0.053125	13.33858
-0.02	0.054375	13.33858
-0.01975	0.05375	13.33858
-0.0195	0.0565625	13.33858
-0.01925	0.054375	13.33858
-0.019	0.0540625	13.33858
-0.01875	0.055625	13.33858
-0.0185	0.0565625	13.33858
-0.01825	0.06	13.33858
-0.018	0.06	13.33858
-0.01775	0.0503125	13.33858
-0.0175	0.0475	13.33858
-0.01725	0.04125	13.33858
-0.017	0.03875	13.33858
-0.01675	0.0396875	13.33858
-0.0165	0.0434375	13.33858
-0.01625	0.0540625	13.33858
-0.016	0.0628125	13.33858
-0.01575	0.0690625	13.33858
-0.0155	0.0709375	13.33858
-0.01525	0.0628125	13.33858
-0.015	0.0628125	13.33858
-0.01475	0.06125	13.33858
-0.0145	0.0603125	13.33858
-0.01425	0.0596875	13.33858
-0.014	0.058125	13.33858
-0.01375	0.0615625	13.33858
-0.0135	0.060625	13.33858
-0.01325	0.0584375	13.33858
-0.013	0.0603125	13.33858
-0.01275	0.0590625	13.33858
-0.0125	0.0590625	13.33858
-0.01225	0.06	13.33858
-0.012	0.0575	13.33858
-0.01175	0.06	13.33858
-0.0115	0.06	13.33858
-0.01125	0.065	13.33858
-0.011	0.064375	13.33858
-0.01075	0.0603125	13.33858
-0.0105	0.0615625	13.33858
-0.01025	0.06125	13.33858
-0.01	0.05875	13.33858
-0.00975	0.0578125	13.33858
-0.0095	0.054375	13.33858
-0.00925	0.0540625	13.33858
-0.009	0.055	13.33858
-0.00875	0.0528125	13.33858
-0.0085	0.054375	13.33858
-0.00825	0.05	13.33858
-0.008	0.0528125	13.33858
-0.00775	0.054375	13.33858
-0.0075	0.0534375	13.33858
-0.00725	0.0565625	13.33858
-0.007	0.055625	13.33858
-0.00675	0.051875	13.33858
-0.0065	0.0521875	13.33858
-0.00625	0.050625	13.33858
-0.006	0.051875	13.33858
-0.00575	0.053125	13.33858
-0.0055	0.050625	13.33858
-0.00525	0.05	13.33858
-0.005	0.04875	13.33858
-0.00475	0.0475	13.33858
-0.0045	0.0459375	13.33858
-0.00425	0.0434375	13.33858
-0.004	0.0465625	13.33858
-0.00375	0.0509375	13.33858
-0.0035	0.0528125	13.33858
-0.00325	0.0578125	13.33858
-0.003	0.0584375	13.33858
-0.00275	0.0578125	13.33858
-0.0025	0.0546875	13.33858
-0.00225	0.0521875	13.33858
-0.002	0.0525	13.33858
-0.00175	0.0484375	13.33858
-0.0015	0.0521875	13.33858
-0.00125	0.061875	13.33858
-0.001	0.064375	13.33858
-0.00075	0.0678125	13.33858
-0.0005	0.0696875	13.33858
-0.00025	0.065	13.33858
0	0.06125	13.33858
0.00025	0.27875	13.39568
0.0005	0.3425	13.45122
0.00075	-1.004063	13.50448
0.001	-0.3175	13.53923
0.00125	0.0309375	13.57217
0.0015	0.0634375	13.60513
0.00175	0.059375	13.63803
