Interval=	0.00025 s
ExcelDateTime=	4.4812568317212477e+004	2022-09-08 13:38:22.607158
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Raw EMG 1	RMS EMG	Force
Range=	20.000 mV	42.46 V	10.000 V
0	0.265	21.57062	0.2709375
0.00025	0.29625	21.57062	0.2709375
0.0005	0.331875	21.57062	0.2709375
0.00075	0.36125	21.57062	0.2709375
0.001	0.37875	21.57062	0.425625
0.00125	0.37	21.57062	0.425625
0.0015	0.34625	21.57062	0.425625
0.00175	0.313125	21.57062	0.425625
0.002	0.270625	21.57062	0.42625
0.00225	0.225	21.57062	0.42625
0.0025	0.179375	21.57062	0.42625
0.00275	0.121875	21.57062	0.42625
0.003	0.071875	21.57062	0.428125
0.00325	0.021875	21.57062	0.428125
0.0035	-0.026875	21.57062	0.428125
0.00375	-0.0625	21.57062	0.428125
0.004	-0.093125	21.57062	0.43
0.00425	-0.121875	21.57062	0.43
0.0045	-0.148125	21.57062	0.43
0.00475	-0.170625	21.57062	0.43
0.005	-0.186875	21.57062	0.4309375
0.00525	-0.191875	21.57062	0.4309375
0.0055	-0.183125	21.57062	0.4309375
0.00575	-0.15	21.57062	0.4309375
0.006	-0.119375	21.57062	0.4296875
0.00625	-0.1	21.57062	0.4296875
0.0065	-0.089375	21.57062	0.4296875
0.00675	-0.084375	21.57062	0.4296875
0.007	-0.07625	21.57062	0.4284375
0.00725	-0.070625	21.57062	0.4284375
0.0075	-0.074375	21.57062	0.4284375
0.00775	-0.06375	21.57062	0.4284375
0.008	-0.054375	21.57062	0.42875
0.00825	-0.034375	21.57062	0.42875
0.0085	-0.011875	21.57062	0.42875
0.00875	0.006875	21.57062	0.42875
0.009	0.0325	21.57062	0.4296875
0.00925	0.040625	21.57062	0.4296875
0.0095	0.0525	21.57062	0.4296875
0.00975	0.06	21.57062	0.4296875
0.01	0.073125	21.57062	0.43
0.01025	0.09875	21.57062	0.43
0.0105	0.131875	21.57062	0.43
0.01075	0.156875	21.57062	0.43
0.011	0.18	21.57062	0.4290625
0.01125	0.195625	21.57062	0.4290625
0.0115	0.2075	21.57062	0.4290625
0.01175	0.22125	21.57062	0.4290625
0.012	0.228125	21.57062	0.428125
0.01225	0.234375	21.57062	0.428125
0.0125	0.243125	21.57062	0.428125
