Trail Number 		Maximum(uV) 	Maximum Time(s) 	Minimum(uV) 	Minimum Time(s) 	Peak-Peak(uV) 	CSP Duration(s)  	CSP Onset(s) 	CSP Offset(s) 	RMS Before Stimulation 	RMS after CSP
1 		 1.4897	0.0385	-2.5812	0.02675	4.0709	0.15325	0.025	0.17825	0.11243	0.21381
2 		 0.76906	0.03925	-1.0353	0.03425	1.8044	0.1735	0.03325	0.20675	0.22121	0.17275
3 		 1.9344	0.03175	-2.0506	0.02925	3.985	0.1485	0.02275	0.17125	0.12843	0.15842
4 		 1.5041	0.031	-1.9047	0.02825	3.4088	0.173	0.02225	0.19525	0.13047	0.1607
5 		 0.95781	0.03075	-1.5225	0.02725	2.4803	0.1705	0.02475	0.19525	0.11932	0.15094
6 		 0.77312	0.03875	-1.4269	0.02725	2.2	0.16625	0.02525	0.1915	0.12837	0.12688
7 		 1.9919	0.03075	-2.4925	0.02775	4.4844	0.175	0.02525	0.20025	0.12116	0.14153
8 		 1.8728	0.03125	-2.0272	0.029	3.9	0.1745	0.0245	0.199	0.11465	0.1324
9 		 2.0003	0.03075	-2.4981	0.02875	4.4984	0.17325	0.02425	0.1975	0.098278	0.14737
10 		 0.89344	0.1935	-1.2356	0.027	2.1291	0.13575	0.026	0.16175	0.14344	0.15897
11 		 1.4031	0.031	-2.8856	0.02825	4.2888	0.18775	0.02525	0.213	0.12141	0.13261
12 		 0.50094	0.331	-0.53625	0.14225	1.0372	0.0875	0.14125	0.22875	0.15617	0.11762
13 		 1.0894	0.031	-1.6091	0.0285	2.6984	0.17675	0.02525	0.202	0.072989	0.12165
14 		 0.99719	0.03175	-1.7541	0.0275	2.7513	0.14725	0.02525	0.1725	0.10604	0.15912
15 		 1.3897	0.033	-1.4772	0.03025	2.8669	0.1705	0.02875	0.19925	0.12215	0.1379
16 		 1.7531	0.0315	-2.4734	0.029	4.2266	0.163	0.02575	0.18875	0.12424	0.17676
17 		 1.2312	0.03325	-1.3322	0.028	2.5634	0.1715	0.0255	0.197	0.10784	0.15307
18 		 2.3053	0.03025	-2.8266	0.02725	5.1319	0.15275	0.02575	0.1785	0.13355	0.14892
19 		 0.96594	0.03775	-1.7384	0.0265	2.7044	0.1805	0.0255	0.206	0.12963	0.16376
20 		 1.4475	0.03	-2.9175	0.027	4.365	0.17475	0.0255	0.20025	0.18554	0.15218

						Avg. CSP Duration 	0.16279
