Trail Number 		Maximum(uV) 	Maximum Time(s) 	Minimum(uV) 	Minimum Time(s) 	Peak-Peak(uV) 	CSP Duration(s)  	CSP Onset(s) 	CSP Offset(s) 	RMS Before Stimulation 	RMS after CSP
1 		 0.14741	0.0355	-0.39415	0.03075	0.54156	0.086	0.02925	0.11525	0.028082	0.018171
2 		 0.19396	0.03725	-0.81729	0.0305	1.0112	0.10575	0.028	0.13375	0.018254	0.025711
3 		 0.28637	0.03425	-0.51457	0.03075	0.80094	0.07675	0.02725	0.104	0.021002	0.022698
4 		 0.236	0.0335	-0.52494	0.029	0.76094	0.0935	0.02775	0.12125	0.0078957	0.017549
5 		 0.27857	0.0345	-0.76268	0.0305	1.0413	0.10125	0.02825	0.1295	0.0069451	0.019941
6 		 0.20339	0.032	-0.3738	0.03075	0.57719	0.10275	0.02925	0.132	0.012505	0.013333
7 		 0.18755	0.04625	-0.7337	0.03075	0.92125	0.16175	0.02875	0.1905	0.0036903	0.012608
8 		 0.32791	0.03225	-0.46365	0.03075	0.79156	0.052	0.02925	0.08125	0.0076196	0.0089708
9 		 0.15391	0.03175	-0.58109	0.03025	0.735	0.0965	0.0285	0.125	0.006447	0.0092637
10 		 0.1799	0.03425	-0.71729	0.03075	0.89719	0.18725	0.02875	0.216	0.010754	0.0070573
11 		 0.27473	0.03175	-0.61152	0.03025	0.88625	0.09725	0.02575	0.123	0.0031975	0.0056189
12 		 0.3339	0.032	-0.49548	0.03075	0.82937	0.1765	0.026	0.2025	0.0050408	0.0084761
13 		 0.31134	0.03225	-0.51459	0.03075	0.82594	0.077	0.02875	0.10575	0.0059658	0.0097946
14 		 0.27098	0.032	-0.45808	0.0305	0.72906	0.1	0.0255	0.1255	0.012702	0.01443
15 		 0.16457	0.03175	-0.41574	0.0305	0.58031	0.18725	0.027	0.21425	0.0096666	0.013724
16 		 0.28587	0.032	-0.4557	0.03075	0.74156	0.193	0.02925	0.22225	0.004549	0.0089066
17 		 0.11698	0.03675	-0.73395	0.03075	0.85094	0.0705	0.02925	0.09975	0.012244	0.011616
18 		 0.18626	0.03225	-0.57249	0.03075	0.75875	0.18775	0.02925	0.217	0.0078084	0.0085293
19 		 0.16584	0.03475	-0.70259	0.0305	0.86844	0.0535	0.0285	0.082	0.0047011	0.0087817
20 		 0.29291	0.032	-0.60115	0.0305	0.89406	0.0825	0.029	0.1115	0.0048026	0.0062239

						Avg. CSP Duration 	0.11444
