SN 		Beep Number 	Response Time
1 		 1	0.1945
2 		 2	0.2345
3 		 3	0.04
4 		 4	0.06975
5 		 5	0.203
6 		 6	0.26275
7 		 7	0.1105
8 		 8	0.074
9 		 9	0.20475
10 		 10	0.18175
11 		 11	0.12325
12 		 12	0.108
13 		 13	0.00025
14 		 14	0.00025
15 		 15	0.16575
16 		 16	0.08575
17 		 17	0.132
18 		 18	0.16225
19 		 19	0.00025
20 		 20	0.46525
21 		 21	0.19075
22 		 22	0.262
23 		 23	0.0605
24 		 24	0.01375
25 		 25	0.3405
26 		 26	0.0485
27 		 27	0.00025
28 		 28	0.0005
29 		 29	0.081
30 		 30	0.0115
31 		 31	0.198
32 		 32	0.00025
33 		 33	0.17725
34 		 34	0.06875
35 		 35	0.17575
36 		 36	0.00025
37 		 37	0.00025
38 		 38	0.00025
39 		 39	0.43475
40 		 40	0.09025
41 		 41	0.142
42 		 42	0.12425
43 		 43	0.00025
44 		 44	0.13925
45 		 45	0.20375
46 		 46	0.18875
47 		 47	0.3035
48 		 48	0.075
49 		 49	0.32525
50 		 50	0.00025
51 		 51	0.19575
52 		 52	0.14325
53 		 53	0.018
54 		 54	0.326
55 		 55	0.4625
56 		 56	0.01525
57 		 57	0.45625
58 		 58	0.16925
59 		 59	0.069
60 		 60	0.00025
61 		 61	0.00025
62 		 62	0.0115
63 		 63	0.0055
64 		 64	0.00025
65 		 65	0.04575
66 		 66	0.1775
67 		 67	0.08025
68 		 68	0.67775
69 		 69	0.098
70 		 70	0.001
71 		 71	0.1165
72 		 72	0.08625
73 		 73	0.01275
74 		 74	0.2405
75 		 75	0.00025
76 		 76	0.563
77 		 77	0.00025
78 		 78	0.0235
79 		 79	0.15725
80 		 80	0.11275
81 		 81	0.14475
82 		 82	0.17975
83 		 83	0.1395
84 		 84	0.0905
85 		 85	0.42575
86 		 86	0.72825
87 		 87	0.00025
88 		 88	0.0245
89 		 89	0.00075
90 		 90	0.26875
91 		 91	0.00075
92 		 92	0.0015
SN 		ITA_BeepPositionBefResp 	Beep Number Time
1 		 32537	1
2 		 38537	2
3 		 44537	3
4 		 48537	4
5 		 52537	5
6 		 56537	6
7 		 60537	7
8 		 66537	8
9 		 72537	9
10 		 80537	10
11 		 84537	11
12 		 88537	12
13 		 92537	13
14 		 104537	14
15 		 108537	15
16 		 114537	16
17 		 118537	17
18 		 122545	18
19 		 126537	19
20 		 136537	20
21 		 142537	21
22 		 146537	22
23 		 150537	23
24 		 156541	24
25 		 160537	25
26 		 166537	26
27 		 172537	27
28 		 176537	28
29 		 180537	29
30 		 184537	30
31 		 188537	31
32 		 194537	32
33 		 200537	33
34 		 208537	34
35 		 212537	35
36 		 220537	36
37 		 232537	37
38 		 236537	38
39 		 242545	39
40 		 246537	40
41 		 250537	41
42 		 254537	42
43 		 258537	43
44 		 264537	44
45 		 270537	45
46 		 274537	46
47 		 278537	47
48 		 284537	48
49 		 288537	49
50 		 294537	50
51 		 300537	51
52 		 304537	52
53 		 308537	53
54 		 312537	54
55 		 316537	55
56 		 322537	56
57 		 328537	57
58 		 336541	58
59 		 340537	59
60 		 344537	60
61 		 348537	61
62 		 360537	62
63 		 364537	63
64 		 370537	64
65 		 374537	65
66 		 378537	66
67 		 382537	67
68 		 386537	68
69 		 392537	69
70 		 398537	70
71 		 402537	71
72 		 406537	72
73 		 412537	73
74 		 416537	74
75 		 422537	75
76 		 428537	76
77 		 432537	77
78 		 436537	78
79 		 440537	79
80 		 444537	80
81 		 450537	81
82 		 456541	82
83 		 464537	83
84 		 468537	84
85 		 472537	85
86 		 476537	86
87 		 488537	87
88 		 492537	88
89 		 495564	89
90 		 498565	90
91 		 501637	91
92 		 505881	92
