SN 		Beep Number 	Response Time
1 		 1	0.2905
2 		 2	0.00025
3 		 3	0.56125
4 		 4	0.48875
5 		 5	0.39575
6 		 6	0.3495
7 		 7	0.22075
8 		 8	0.005
9 		 9	0.49025
10 		 10	0.5305
11 		 11	0.6365
12 		 12	0.63625
13 		 13	0.6095
14 		 14	0.7015
15 		 15	0.61
16 		 16	0.53625
17 		 17	0.64275
18 		 18	0.591
19 		 19	0.45
20 		 20	0.47025
21 		 21	0.62375
22 		 22	0.1655
23 		 23	0.00025
24 		 24	0.5885
25 		 25	0.72725
26 		 26	0.57775
27 		 27	0.73075
28 		 28	0.7185
29 		 29	0.71
30 		 30	0.71425
31 		 31	0.49625
32 		 32	0.36325
33 		 33	0.537
34 		 34	0.559
35 		 35	0.42975
36 		 36	0.5065
37 		 37	0.6435
SN 		ITA_BeepPositionBefResp 	Beep Number Time
1 		 64009	1
2 		 68373	2
3 		 72737	3
4 		 77101	4
5 		 81465	5
6 		 85829	6
7 		 90193	7
8 		 94557	8
9 		 98921	9
10 		 103281	10
11 		 107645	11
12 		 112009	12
13 		 116373	13
14 		 120737	14
15 		 125101	15
16 		 129465	16
17 		 133829	17
18 		 138193	18
19 		 142557	19
20 		 146921	20
21 		 151281	21
22 		 155645	22
23 		 160009	23
24 		 164373	24
25 		 177465	25
26 		 181829	26
27 		 186193	27
28 		 190557	28
29 		 194921	29
30 		 199281	30
31 		 203645	31
32 		 208009	32
33 		 212373	33
34 		 216737	34
35 		 221101	35
36 		 225465	36
37 		 229829	37
