SN 		Beep Number 	Response Time
1 		 1	0.063
2 		 2	0.003
3 		 3	0.09625
4 		 4	0.19525
5 		 5	0.00025
6 		 6	0.0465
7 		 7	0.10575
8 		 8	0.19875
9 		 9	0.19175
10 		 10	0.15375
11 		 11	0.15625
12 		 12	0.23875
13 		 13	0.005
14 		 14	0.2715
15 		 15	0.2485
16 		 16	0.01775
17 		 17	0.2485
18 		 18	0.09475
19 		 19	0.2555
SN 		ITA_BeepPositionBefResp 	Beep Number Time
1 		 67285	1
2 		 71649	2
3 		 76013	3
4 		 80377	4
5 		 84741	5
6 		 89105	6
7 		 93469	7
8 		 97833	8
9 		 102197	9
10 		 106561	10
11 		 110921	11
12 		 115285	12
13 		 119649	13
14 		 124013	14
15 		 128377	15
16 		 132741	16
17 		 137105	17
18 		 141469	18
19 		 145833	19
