SN 		Beep Number 	Response Time
1 		 1	0.32
2 		 2	0.396
3 		 3	0.60375
4 		 4	0.144
5 		 5	0.3135
6 		 6	0.5255
7 		 7	0.10725
8 		 8	0.3135
9 		 9	0.44775
10 		 10	0.0005
11 		 11	0.17825
12 		 12	0.34375
13 		 13	0.49625
14 		 14	0.03
15 		 15	0.195
16 		 16	0.33125
17 		 17	0.448
18 		 18	0.006
19 		 19	0.1075
20 		 20	0.28725
21 		 21	0.41325
22 		 22	0.56975
23 		 23	0.07725
24 		 24	0.27225
25 		 25	0.37175
26 		 26	0.5985
27 		 27	0.12575
28 		 28	0.24
29 		 29	0.37175
30 		 30	0.51725
31 		 31	0.60075
32 		 32	0.095
33 		 33	0.24
34 		 34	0.3635
35 		 35	0.5335
36 		 36	0.06425
37 		 37	0.2645
38 		 38	0.37725
39 		 39	0.49
40 		 40	0.00025
SN 		ITA_BeepPositionBefResp 	Beep Number Time
1 		 43005	1
2 		 47369	2
3 		 51733	3
4 		 56097	4
5 		 60461	5
6 		 64825	6
7 		 69189	7
8 		 73549	8
9 		 77913	9
10 		 82277	10
11 		 86641	11
12 		 91005	12
13 		 95369	13
14 		 99733	14
15 		 104097	15
16 		 108461	16
17 		 112825	17
18 		 117189	18
19 		 121549	19
20 		 125913	20
21 		 130277	21
22 		 134641	22
23 		 139005	23
24 		 143369	24
25 		 147733	25
26 		 152097	26
27 		 156461	27
28 		 160825	28
29 		 165189	29
30 		 169549	30
31 		 173913	31
32 		 178277	32
33 		 182641	33
34 		 187005	34
35 		 191369	35
36 		 195733	36
37 		 200097	37
38 		 204461	38
39 		 208825	39
40 		 213315	40
