SN 		Beep Number 	Response Time
1 		 1	0.06875
2 		 2	0.007
3 		 3	0.21875
4 		 4	0.16025
5 		 5	0.02525
6 		 6	0.1955
7 		 7	0.112
8 		 8	0.22975
9 		 9	0.2765
10 		 10	0.108
11 		 11	0.199
12 		 12	0.107
13 		 13	0.12575
14 		 14	0.11675
15 		 15	0.04175
16 		 16	0.02275
17 		 17	0.18425
18 		 18	0.09725
19 		 19	0.01025
20 		 20	0.024
21 		 21	0.1705
22 		 22	0.23375
23 		 23	0.1505
24 		 24	0.18625
25 		 25	0.22875
26 		 26	0.12075
27 		 27	0.0135
28 		 28	0.07075
29 		 29	0.034
30 		 30	0.03525
31 		 31	0.03325
32 		 32	0.21825
33 		 33	0.128
34 		 34	0.1345
35 		 35	0.124
36 		 36	0.24525
37 		 37	0.29425
38 		 38	0.01075
39 		 39	0.20575
40 		 40	0.24075
41 		 41	0.2185
42 		 42	0.176
43 		 43	0.174
44 		 44	0.1605
45 		 45	0.133
46 		 46	0.14725
47 		 47	0.17475
SN 		ITA_BeepPositionBefResp 	Beep Number Time
1 		 4161	1
2 		 8525	2
3 		 12889	3
4 		 17249	4
5 		 21613	5
6 		 25977	6
7 		 30341	7
8 		 34705	8
9 		 39069	9
10 		 43433	10
11 		 47797	11
12 		 52161	12
13 		 56525	13
14 		 60889	14
15 		 65249	15
16 		 69613	16
17 		 73977	17
18 		 78341	18
19 		 82705	19
20 		 87069	20
21 		 91433	21
22 		 95797	22
23 		 100161	23
24 		 104525	24
25 		 108889	25
26 		 113249	26
27 		 117613	27
28 		 121977	28
29 		 126341	29
30 		 130705	30
31 		 135069	31
32 		 139433	32
33 		 143797	33
34 		 148161	34
35 		 152525	35
36 		 156889	36
37 		 161249	37
38 		 165613	38
39 		 169977	39
40 		 174341	40
41 		 178705	41
42 		 183069	42
43 		 187433	43
44 		 191797	44
45 		 196161	45
46 		 200525	46
47 		 204889	47
