SN 		Beep Number 	Response Time
1 		 1	0.266
2 		 2	0.469
3 		 3	0.19
4 		 4	0.207
5 		 5	0.719
6 		 6	0.104
7 		 7	0.7
8 		 8	0.078
9 		 9	0.476
10 		 10	0.00025
11 		 11	0.662
12 		 12	0.642
13 		 13	0.141
14 		 14	0.113
15 		 15	0.317
16 		 16	0.455
17 		 17	0.383
18 		 18	0.413
19 		 19	0.604
20 		 20	0.447
21 		 21	0.039
22 		 22	0.417
23 		 23	0.00025
24 		 24	0.055
25 		 25	0.735
26 		 26	0.656
27 		 27	0.283
28 		 28	0.58
29 		 29	0.671
30 		 30	0.234
31 		 31	0.369
32 		 32	0.00025
33 		 33	0.211
34 		 34	0.183
35 		 35	0.664
36 		 36	0.702
37 		 37	0.379
38 		 38	0.233
39 		 39	0.512
40 		 40	0.208
41 		 41	0.482
42 		 42	0.539
43 		 43	0.144
44 		 44	0.381
45 		 45	0.372
46 		 46	0.476
47 		 47	0.068
48 		 48	0.495
49 		 49	0.522
50 		 50	0.422
51 		 51	0.7
52 		 52	0.171
53 		 53	0.598
54 		 54	0.285
55 		 55	0.416
56 		 56	0.443
57 		 57	0.494
58 		 58	0.31
59 		 59	0.021
60 		 60	0.463
61 		 61	0.262
62 		 62	0.216
SN 		ITA_BeepPositionBefResp 	Beep Number Time
1 		 26065	1
2 		 44065	2
3 		 50065	3
4 		 56065	4
5 		 60065	5
6 		 64065	6
7 		 68065	7
8 		 96065	8
9 		 100065	9
10 		 116065	10
11 		 120065	11
12 		 130065	12
13 		 134073	13
14 		 138065	14
15 		 142065	15
16 		 158065	16
17 		 162065	17
18 		 168069	18
19 		 178065	19
20 		 184065	20
21 		 188065	21
22 		 192065	22
23 		 196065	23
24 		 206065	24
25 		 212065	25
26 		 220065	26
27 		 228069	27
28 		 232065	28
29 		 254073	29
30 		 258065	30
31 		 262065	31
32 		 266065	32
33 		 270065	33
34 		 276065	34
35 		 282065	35
36 		 286065	36
37 		 290065	37
38 		 296065	38
39 		 300065	39
40 		 312065	40
41 		 316065	41
42 		 320065	42
43 		 324065	43
44 		 328065	44
45 		 334065	45
46 		 348069	46
47 		 352065	47
48 		 356065	48
49 		 360065	49
50 		 372065	50
51 		 376065	51
52 		 386065	52
53 		 390065	53
54 		 394065	54
55 		 398065	55
56 		 404065	56
57 		 410065	57
58 		 414065	58
59 		 418065	59
60 		 424065	60
61 		 428065	61
62 		 440065	62
