SN 		Beep Number 	Response Time
1 		 1	0.083
2 		 2	0.381
3 		 3	0.16
4 		 4	0.00025
5 		 5	0.442
6 		 6	0.553
7 		 7	0.543
8 		 8	0.507
9 		 9	0.633
10 		 10	0.459
11 		 11	0.239
12 		 12	0.088
13 		 13	0.674
14 		 14	0.572
15 		 15	0.531
16 		 16	0.534
17 		 17	0.462
18 		 18	0.335
19 		 19	0.109
20 		 20	0.616
21 		 21	0.522
22 		 22	0.459
23 		 23	0.324
24 		 24	0.148
25 		 25	0.625
26 		 26	0.568
27 		 27	0.426
28 		 28	0.379
29 		 29	0.172
30 		 30	0.00025
31 		 31	0.417
32 		 32	0.328
33 		 33	0.212
34 		 34	0.219
35 		 35	0.354
36 		 36	0.273
37 		 37	0.142
38 		 38	0.706
39 		 39	0.442
SN 		ITA_BeepPositionBefResp 	Beep Number Time
1 		 1945	1
2 		 15037	2
3 		 19401	3
4 		 32493	4
5 		 36857	5
6 		 41221	6
7 		 45581	7
8 		 49945	8
9 		 54309	9
10 		 58673	10
11 		 63037	11
12 		 67401	12
13 		 71765	13
14 		 76129	14
15 		 80493	15
16 		 84857	16
17 		 89221	17
18 		 93581	18
19 		 97945	19
20 		 102309	20
21 		 106673	21
22 		 111037	22
23 		 115401	23
24 		 119765	24
25 		 124129	25
26 		 128493	26
27 		 132857	27
28 		 137221	28
29 		 141581	29
30 		 145945	30
31 		 150309	31
32 		 154673	32
33 		 159037	33
34 		 163401	34
35 		 167765	35
36 		 172129	36
37 		 176493	37
38 		 180857	38
39 		 185221	39
