SN 		Beep Number 	Response Time
1 		 1	0.3795
2 		 2	0.14625
3 		 3	0.09925
4 		 4	0.44475
5 		 5	0.36475
6 		 6	0.2215
7 		 7	0.19975
8 		 8	0.12025
9 		 9	0.34025
10 		 10	0.2295
11 		 11	0.36175
12 		 12	0.56975
13 		 13	0.128
14 		 14	0.447
15 		 15	0.5255
16 		 16	0.01725
17 		 17	0.456
18 		 18	0.45125
19 		 19	0.466
20 		 20	0.399
21 		 21	0.367
22 		 22	0.2575
23 		 23	0.22725
24 		 24	0.66075
25 		 25	0.30575
26 		 26	0.00275
27 		 27	0.26325
28 		 28	0.497
29 		 29	0.39225
30 		 30	0.52125
31 		 31	0.686
32 		 32	0.01825
33 		 33	0.15775
34 		 34	0.33975
35 		 35	0.217
36 		 36	0.20875
37 		 37	0.16525
38 		 38	0.464
39 		 39	0.22675
40 		 40	0.43175
41 		 41	0.28975
42 		 42	0.3155
43 		 43	0.48925
44 		 44	0.22625
45 		 45	0.34175
46 		 46	0.2375
47 		 47	0.31075
48 		 48	0.43725
49 		 49	0.4635
50 		 50	0.7305
51 		 51	0.04075
52 		 52	0.5715
53 		 53	0.052
54 		 54	0.188
55 		 55	0.16825
56 		 56	0.16525
57 		 57	0.73575
58 		 58	0.6875
59 		 59	0.4945
60 		 60	0.62825
61 		 61	0.0695
62 		 62	0.493
SN 		ITA_BeepPositionBefResp 	Beep Number Time
1 		 4420	1
2 		 8420	2
3 		 12420	3
4 		 16420	4
5 		 32420	5
6 		 38420	6
7 		 42420	7
8 		 46427	8
9 		 50420	9
10 		 54420	10
11 		 66420	11
12 		 74420	12
13 		 80421	13
14 		 84420	14
15 		 90420	15
16 		 96420	16
17 		 100420	17
18 		 104420	18
19 		 108420	19
20 		 112420	20
21 		 124420	21
22 		 132420	22
23 		 136420	23
24 		 144420	24
25 		 156420	25
26 		 166427	26
27 		 178420	27
28 		 182420	28
29 		 188420	29
30 		 194420	30
31 		 198420	31
32 		 202420	32
33 		 208420	33
34 		 212420	34
35 		 218420	35
36 		 224420	36
37 		 228420	37
38 		 232420	38
39 		 236420	39
40 		 240420	40
41 		 246420	41
42 		 252420	42
43 		 264420	43
44 		 268420	44
45 		 284420	45
46 		 298420	46
47 		 302420	47
48 		 310420	48
49 		 322420	49
50 		 326420	50
51 		 330420	51
52 		 336420	52
53 		 340420	53
54 		 346420	54
55 		 352420	55
56 		 356420	56
57 		 360420	57
58 		 364420	58
59 		 374420	59
60 		 380422	60
61 		 388420	61
62 		 416420	62
