Trail Number 		Maximum(uV) 	Maximum Time(s) 	Minimum(uV) 	Minimum Time(s) 	Peak-Peak(uV) 	Duration(s)  	Onset(s) 	Offset(s)
1 		 0.032813	0.03325	-0.34437	0.031	0.37719	0.00225	0.01275	0.0125
2 		 -0.01125	0.03525	-0.40344	0.0305	0.39219	0.00475	0.01275	0.0125
3 		 0.0096875	0.03425	-0.4175	0.03075	0.42719	0.0035	0.01275	0.0125
4 		 0.022812	0.03375	-0.37594	0.03125	0.39875	0.0025	0.01275	0.0125
11 		 0.090938	0.03575	-0.26188	0.03125	0.35281	0.0045	0.01275	0.0125
17 		 0.015312	0.03275	-0.36344	0.03	0.37875	0.00275	0.01275	0.0125
20 		 -0.012812	0.0385	-0.33437	0.031	0.32156	0.0075	0.01275	0.0125
22 		 0.015312	0.0365	-0.22719	0.0315	0.2425	0.005	0.01275	0.0125
23 		 0.054062	0.03775	-0.24688	0.03125	0.30094	0.0065	0.01275	0.0125
27 		 0.078125	0.03775	-0.25531	0.0325	0.33344	0.00525	0.01275	0.0125
30 		 0.64906	0.03375	-1.4375	0.02975	2.0866	0.004	0.01275	0.036
