Trail Number 		Maximum(uV) 	Maximum Time(s) 	Minimum(uV) 	Minimum Time(s) 	Peak-Peak(uV) 	Duration(s)  	Onset(s) 	Offset(s)
1 		 1.3106	0.03425	-3.0006	0.0295	4.3112	0.00475	0.02225	0.05275
2 		 0.78375	0.03375	-1.0037	0.0295	1.7875	0.00425	0.02575	0.052
3 		 0.37906	0.03275	-0.26469	0.02975	0.64375	0.003	0.022	0.0455
4 		 0.47563	0.0335	-0.51625	0.02675	0.99188	0.00675	0.025	0.04975
5 		 0.79625	0.0325	-1.4056	0.02875	2.2019	0.00375	0.02475	0.04675
6 		 0.31688	0.0345	-0.48656	0.03	0.80344	0.0045	0.0235	0.05375
7 		 0.3125	0.0345	-0.40531	0.02975	0.71781	0.00475	0.02575	0.053
8 		 0.47094	0.035	-0.67594	0.03025	1.1469	0.00475	0.02775	0.054
9 		 0.47594	0.0335	-0.80375	0.0295	1.2797	0.004	0.02625	0.0535
10 		 0.38125	0.035	-0.6225	0.03025	1.0038	0.00475	0.02725	0.05275
14 		 0.75438	0.03375	-0.90844	0.029	1.6628	0.00475	0.02675	0.054
16 		 0.23969	0.0315	-0.19437	0.02675	0.43406	0.00475	0.02475	0.0375
21 		 1.6678	0.03425	-3.2122	0.02875	4.88	0.0055	0.023	0.055
22 		 1.5466	0.03375	-2.8681	0.029	4.4147	0.00475	0.02475	0.0525
23 		 1.8281	0.03375	-3.3022	0.02925	5.1303	0.0045	0.0225	0.05275
24 		 2.2597	0.03425	-3.6372	0.02925	5.8969	0.005	0.02175	0.05175
25 		 1.4231	0.03425	-3.1763	0.02875	4.5994	0.0055	0.02475	0.05325
26 		 1.4863	0.03475	-2.505	0.02925	3.9912	0.0055	0.022	0.0525
27 		 1.9178	0.03325	-3.5894	0.029	5.5072	0.00425	0.025	0.05325
28 		 1.8441	0.03325	-2.8397	0.028	4.6837	0.00525	0.02025	0.0505
29 		 2.0766	0.034	-3.4259	0.029	5.5025	0.005	0.019	0.0525
30 		 2.1088	0.03525	-3.3672	0.02875	5.4759	0.0065	0.02425	0.0535
31 		 0.39937	0.00675	-0.235	0.02775	0.63437	-0.021	0.01925	0.00875
32 		 0.40656	0.0305	-0.40031	0.02725	0.80688	0.00325	0.02425	0.03125
33 		 0.29437	0.094	-0.32344	0.08325	0.61781	0.01075	0.03325	0.097
34 		 0.33844	0.01075	-0.355	0.0075	0.69344	0.00325	0.00325	0.01175
35 		 0.43719	0.03125	-0.43094	0.027	0.86813	0.00425	0.024	0.0435
36 		 0.40469	0.0865	-0.41875	0.08325	0.82344	0.00325	0.07175	0.08825
37 		 0.37969	0.0885	-0.33281	0.0845	0.7125	0.004	0.079	0.097
38 		 0.38281	0.01825	-0.28844	0.0145	0.67125	0.00375	0.013	0.0215
40 		 0.27094	0.01575	-0.22812	0.08475	0.49906	-0.069	0.0595	0.02075
41 		 1.485	0.034	-2.2822	0.02925	3.7672	0.00475	0.02175	0.0515
42 		 1.7519	0.03325	-2.6416	0.02875	4.3934	0.0045	0.021	0.05125
43 		 0.8875	0.035	-1.3572	0.02875	2.2447	0.00625	0.0245	0.04975
44 		 1.4659	0.034	-2.355	0.02825	3.8209	0.00575	0.022	0.05075
45 		 1.1544	0.034	-2.1184	0.02925	3.2728	0.00475	0.02125	0.05225
46 		 1.6362	0.034	-2.4616	0.02925	4.0978	0.00475	0.02425	0.0535
