Trail Number 		Maximum(uV) 	Maximum Time(s) 	Minimum(uV) 	Minimum Time(s) 	Peak-Peak(uV) 	CSP Duration(s)  	CSP Onset(s) 	CSP Offset(s) 	RMS Before Stimulation 	RMS after CSP
1 		 3.3403	0.0325	-4.7831	0.02825	8.1234	0.20025	0.02575	0.226	0.16361	0.35992
2 		 1.0656	0.0335	-1.6544	0.0295	2.72	0.21738	0.02625	0.24363	0.071492	0.079367
3 		 2.0981	0.034	-2.9753	0.02925	5.0734	0.21036	0.02575	0.23611	0.071877	0.082109
4 		 1.3534	0.03375	-1.7816	0.02925	3.135	0.20978	0.026	0.23578	0.062298	0.058358
5 		 0.97531	0.03375	-1.5947	0.02925	2.57	0.20782	0.026	0.23382	0.058453	0.068827
6 		 0.875	0.0335	-1.525	0.02925	2.4	0.20594	0.02625	0.23219	0.07299	0.076047
7 		 1.415	0.034	-2.6184	0.029	4.0334	0.21003	0.02575	0.23578	0.067675	0.071342
8 		 0.91969	0.0345	-1.5713	0.02925	2.4909	0.21476	0.02625	0.24101	0.063362	0.081932
9 		 1.4916	0.034	-2.7297	0.02925	4.2213	0.21534	0.026	0.24134	0.068412	0.085678
10 		 1.0722	0.03375	-2.2222	0.02925	3.2944	0.21624	0.02575	0.24199	0.066345	0.082799
11 		 0.90312	0.03375	-1.2953	0.02875	2.1984	0.052	0.02575	0.07775	0.051088	0.061874
12 		 0.6975	0.034	-1.2131	0.0295	1.9106	0.2125	0.026	0.2385	0.076157	0.073858
13 		 0.76438	0.03475	-1.1619	0.03	1.9263	0.21469	0.026	0.24069	0.064464	0.070633
14 		 0.74594	0.0345	-1.0609	0.02925	1.8069	0.21738	0.02625	0.24363	0.068793	0.070915
15 		 1.0556	0.034	-2.1063	0.02875	3.1619	0.21461	0.02575	0.24036	0.071119	0.080025
16 		 1.1591	0.035	-1.4844	0.0295	2.6434	0.21476	0.02625	0.24101	0.073993	0.085734
17 		 1.0694	0.03425	-1.6309	0.0295	2.7003	0.21992	0.026	0.24592	0.065651	0.059092
18 		 0.91094	0.03375	-1.6741	0.02925	2.585	0.21298	0.02575	0.23873	0.068461	0.057252
19 		 1.6241	0.03375	-2.9131	0.0295	4.5372	0.21599	0.026	0.24199	0.05641	0.097923
20 		 0.81688	0.0355	-1.4028	0.02975	2.2197	0.21411	0.02625	0.24036	0.069775	0.065528

						Avg. CSP Duration 	0.20484
