Interval=	0.00025 s
ExcelDateTime=	4.4825404700274565e+004	2022-09-21 9:42:46.103723
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Raw EMG 1	RMS EMG
Range=	10.000 mV	42.46 V
-0.05	0.0559375	10.93698
-0.04975	0.051875	10.93698
-0.0495	0.0546875	10.93698
-0.04925	0.05375	10.93698
-0.049	0.053125	10.93698
-0.04875	0.0578125	10.93698
-0.0485	0.0578125	10.93698
-0.04825	0.0575	10.93698
-0.048	0.05875	10.93698
-0.04775	0.054375	10.93698
-0.0475	0.05375	10.93698
-0.04725	0.0540625	10.93698
-0.047	0.05125	10.93698
-0.04675	0.04875	10.93698
-0.0465	0.04625	10.93698
-0.04625	0.0425	10.93698
-0.046	0.041875	10.93698
-0.04575	0.0371875	10.93698
-0.0455	0.0296875	10.93698
-0.04525	0.01375	10.93698
-0.045	-0.0034375	10.93698
-0.04475	-0.0184375	10.93698
-0.0445	-0.0346875	10.93698
-0.04425	-0.040625	10.93698
-0.044	-0.0340625	10.93698
-0.04375	-0.0246875	10.93698
-0.0435	-0.00125	10.93698
-0.04325	0.0221875	10.93698
-0.043	0.0471875	10.93698
-0.04275	0.0746875	10.93698
-0.0425	0.096875	10.93698
-0.04225	0.114375	10.93698
-0.042	0.1315625	10.93698
-0.04175	0.144375	10.93698
-0.0415	0.1440625	10.93698
-0.04125	0.1396875	10.93698
-0.041	0.13125	10.93698
-0.04075	0.1171875	10.93698
-0.0405	0.1009375	10.93698
-0.04025	0.0840625	10.93698
-0.04	0.065625	10.93698
-0.03975	0.05375	10.93698
-0.0395	0.0521875	10.93698
-0.03925	0.05	10.93698
-0.039	0.053125	10.93698
-0.03875	0.064375	10.93698
-0.0385	0.0825	10.93698
-0.03825	0.09875	10.93698
-0.038	0.1065625	10.93698
-0.03775	0.105625	10.93698
-0.0375	0.0940625	10.93698
-0.03725	0.0815625	10.93698
-0.037	0.066875	10.93698
-0.03675	0.0578125	10.93698
-0.0365	0.0546875	10.93698
-0.03625	0.050625	10.93698
-0.036	0.0528125	10.93698
-0.03575	0.0609375	10.93698
-0.0355	0.06125	10.93698
-0.03525	0.065	10.93698
-0.035	0.0709375	10.93698
-0.03475	0.0721875	10.93698
-0.0345	0.0759375	10.93698
-0.03425	0.07625	10.93698
-0.034	0.0765625	10.93698
-0.03375	0.0746875	10.93698
-0.0335	0.0725	10.93698
-0.03325	0.0690625	10.93698
-0.033	0.0609375	10.93698
-0.03275	0.0490625	10.93698
-0.0325	0.0465625	10.93698
-0.03225	0.0415625	10.93698
-0.032	0.039375	10.93698
-0.03175	0.035625	10.93698
-0.0315	0.030625	10.93698
-0.03125	0.0284375	10.93698
-0.031	0.0296875	10.93698
-0.03075	0.031875	10.93698
-0.0305	0.0403125	10.93698
-0.03025	0.04375	10.93698
-0.03	0.0471875	10.93698
-0.02975	0.0540625	10.93698
-0.0295	0.059375	10.93698
-0.02925	0.0678125	10.93698
-0.029	0.07125	10.93698
-0.02875	0.07875	10.93698
-0.0285	0.079375	10.93698
-0.02825	0.0753125	10.93698
-0.028	0.07375	10.93698
-0.02775	0.068125	10.93698
-0.0275	0.0625	10.93698
-0.02725	0.0553125	10.93698
-0.027	0.0484375	10.93698
-0.02675	0.0503125	10.93698
-0.0265	0.0509375	10.93698
-0.02625	0.0565625	10.93698
-0.026	0.060625	10.93698
-0.02575	0.055625	10.93698
-0.0255	0.0415625	10.93698
-0.02525	0.0203125	10.93698
-0.025	-0.0003125	10.93698
-0.02475	-0.014375	10.93698
-0.0245	-0.0246875	10.93698
-0.02425	-0.02125	10.93698
-0.024	-0.0021875	10.93698
-0.02375	0.0284375	10.93698
-0.0235	0.060625	10.93698
-0.02325	0.0896875	10.93698
-0.023	0.10625	10.93698
-0.02275	0.10875	10.93698
-0.0225	0.10625	10.93698
-0.02225	0.1	10.93698
-0.022	0.0915625	10.93698
-0.02175	0.080625	10.93698
-0.0215	0.074375	10.93698
-0.02125	0.0671875	10.93698
-0.021	0.0646875	10.93698
-0.02075	0.06375	10.93698
-0.0205	0.06375	10.93698
-0.02025	0.064375	10.93698
-0.02	0.0615625	10.93698
-0.01975	0.058125	10.93698
-0.0195	0.0565625	10.93698
-0.01925	0.0534375	10.93698
-0.019	0.05375	10.93698
-0.01875	0.0540625	10.93698
-0.0185	0.0528125	10.93698
-0.01825	0.0534375	10.93698
-0.018	0.0540625	10.93698
-0.01775	0.05375	10.93698
-0.0175	0.054375	10.93698
-0.01725	0.0540625	10.93698
-0.017	0.055625	10.93698
-0.01675	0.054375	10.93698
-0.0165	0.055625	10.93698
-0.01625	0.0565625	10.93698
-0.016	0.0540625	10.93698
-0.01575	0.0571875	10.93698
-0.0155	0.0578125	10.93698
-0.01525	0.0575	10.93698
-0.015	0.0590625	10.93698
-0.01475	0.05875	10.93698
-0.0145	0.05625	10.93698
-0.01425	0.058125	10.93698
-0.014	0.05875	10.93698
-0.01375	0.05875	10.93698
-0.0135	0.0575	10.93698
-0.01325	0.0559375	10.93698
-0.013	0.0578125	10.93698
-0.01275	0.056875	10.93698
-0.0125	0.056875	10.93698
-0.01225	0.0578125	10.93698
-0.012	0.05875	10.93698
-0.01175	0.06	10.93698
-0.0115	0.0590625	10.93698
-0.01125	0.0584375	10.93698
-0.011	0.0609375	10.93698
-0.01075	0.0596875	10.93698
-0.0105	0.0621875	10.93698
-0.01025	0.063125	10.93698
-0.01	0.06125	10.93698
-0.00975	0.061875	10.93698
-0.0095	0.0646875	10.93698
-0.00925	0.065625	10.93698
-0.009	0.0628125	10.93698
-0.00875	0.0609375	10.93698
-0.0085	0.060625	10.93698
-0.00825	0.0584375	10.93698
-0.008	0.0559375	10.93698
-0.00775	0.0571875	10.93698
-0.0075	0.049375	10.93698
-0.00725	0.049375	10.93698
-0.007	0.0496875	10.93698
-0.00675	0.051875	10.93698
-0.0065	0.050625	10.93698
-0.00625	0.0478125	10.93698
-0.006	0.044375	10.93698
-0.00575	0.04	10.93698
-0.0055	0.0396875	10.93698
-0.00525	0.0475	10.93698
-0.005	0.0515625	10.93698
-0.00475	0.0590625	10.93698
-0.0045	0.0640625	10.93698
-0.00425	0.0609375	10.93698
-0.004	0.063125	10.93698
-0.00375	0.06125	10.93698
-0.0035	0.0578125	10.93698
-0.00325	0.0578125	10.93698
-0.003	0.0565625	10.93698
-0.00275	0.0534375	10.93698
-0.0025	0.0525	10.93698
-0.00225	0.0525	10.93698
-0.002	0.0503125	10.93698
-0.00175	0.0478125	10.93698
-0.0015	0.048125	10.93698
-0.00125	0.0484375	10.93698
-0.001	0.0471875	10.93698
-0.00075	0.0503125	10.93698
-0.0005	0.0484375	10.93698
-0.00025	0.0475	10.93698
0	0.0503125	10.93698
0.00025	0.2421875	10.96281
0.0005	0.331875	10.98735
0.00075	-1.051563	11.00945
0.001	-0.3565625	11.00676
0.00125	0.0128125	11.0013
0.0015	0.053125	10.99591
0.00175	0.055	10.99052
0.002	0.054375	10.98513
0.00225	0.04875	10.97972
0.0025	0.0490625	10.9743
0.00275	0.055	10.96887
0.003	0.0621875	10.96341
0.00325	0.059375	10.95791
0.0035	0.0571875	10.95238
0.00375	0.05625	10.94682
0.004	0.055	10.94123
0.00425	0.05375	10.93561
0.0045	0.0565625	10.92997
0.00475	0.0603125	10.9243
0.005	0.055625	10.91859
0.00525	0.0609375	10.91286
0.0055	0.0675	10.90708
0.00575	0.066875	10.90123
0.006	0.065	10.89535
0.00625	0.0684375	10.88942
0.0065	0.0675	10.88344
0.00675	0.0653125	10.87741
0.007	0.066875	10.87132
0.00725	0.0671875	10.86516
0.0075	0.0678125	10.85898
0.00775	0.07	10.85279
0.008	0.07	10.84664
0.00825	0.0678125	10.84058
0.0085	0.0684375	10.83465
0.00875	0.0678125	10.82889
0.009	0.065625	10.82331
0.00925	0.066875	10.81791
0.0095	0.0646875	10.81264
0.00975	0.0634375	10.80749
0.01	0.063125	10.8024
0.01025	0.064375	10.79735
0.0105	0.06375	10.7923
0.01075	0.0634375	10.78723
